symbol,ltp,changepct,contribution
AXISBANK,1170.8,2.31,17.91
SBIN,870.6,1.79,12.39
BAJFINANCE,1025.5,1.89,9.75
KOTAKBANK,2047.7,1.29,9.58
MARUTI,16097.0,1.78,6.54
M&M,3614.6,0.83,4.93
NTPC,343.0,1.12,4.31
JSWSTEEL,1138.4,1.92,4.3
INDUSINDBK,755.25,2.85,3.59
LT,3657.6,0.36,3.23
TATASTEEL,173.29,1.11,2.93
ADANIENT,2676.4,1.78,2.42
TATAMOTORS,701.35,0.73,2.24
POWERGRID,288.6,0.68,2.17
BAJAJFINSV,2084.4,0.72,1.74
EICHERMOT,6990.5,0.64,1.13
DRREDDY,1308.4,0.54,0.9
SHRIRAMFIN,628.8,0.15,0.29
HINDALCO,745.9,0.03,0.06
TATACONSUM,1128.5,-0.14,-0.24
COALINDIA,394.05,-0.16,-0.32
ADANIPORTS,1441.6,-0.18,-0.37
WIPRO,249.63,-0.28,-0.44
ONGC,236.66,-0.34,-0.74
JIOFIN,312.55,-0.41,-0.79
APOLLOHOSP,7684.0,-0.71,-1.14
BEL,404.45,-0.48,-1.23
HEROMOTOCO,5370.5,-1.09,-1.23
RELIANCE,1389.8,-0.06,-1.31
BAJAJ-AUTO,8984.5,-0.77,-1.57
INFY,1497.5,-0.13,-1.61
TITAN,3439.2,-0.53,-1.69
CIPLA,1527.1,-0.98,-1.95
HCLTECH,1429.8,-0.7,-2.66
HDFCLIFE,775.05,-1.62,-2.94
TCS,3062.4,-0.37,-2.98
NESTLEIND,1168.4,-1.67,-3.28
GRASIM,2813.5,-1.42,-3.4
SUNPHARMA,1631.2,-0.78,-3.51
ASIANPAINT,2446.9,-1.44,-3.62
SBILIFE,1819.4,-2.06,-3.73
ETERNAL,338.35,-1.02,-3.77
TECHM,1471.9,-2.23,-4.88
ULTRACEMCO,12401.0,-1.97,-6.1
TRENT,4891.0,-2.38,-6.23
ITC,403.2,-0.92,-8.34
HINDUNILVR,2522.2,-1.94,-9.23
BHARTIARTL,1938.7,-0.89,-10.17
ICICIBANK,1394.3,-0.51,-11.75
HDFCBANK,957.2,-0.73,-24.44
