symbol,ltp,changepct,contribution
AXISBANK,1170.8,2.31,17.91
SBIN,870.6,1.79,12.39
BAJFINANCE,1025.5,1.89,9.75
KOTAKBANK,2047.7,1.29,9.58
MARUTI,16097.0,1.78,6.54
M&M,3614.6,0.83,4.93
NTPC,343.0,1.12,4.31
JSWSTEEL,1138.4,1.92,4.3
INDUSINDBK,755.25,2.85,3.59
LT,3657.6,0.36,3.23
TATASTEEL,173.29,1.11,2.93
ADANIENT,2676.4,1.78,2.42
TATAMOTORS,701.35,0.73,2.24
POWERGRID,288.6,0.68,2.17
BAJAJFINSV,2084.4,0.72,1.74
EICHERMOT,6990.5,0.64,1.13
DRREDDY,1308.4,0.54,0.9
SHRIRAMFIN,628.8,0.15,0.29
HINDALCO,745.9,0.03,0.06
