symbol,ltp,changepct,contribution
INFY,1196.9,4.76,52.61
TCS,2327.1,1.92,12.11
ETERNAL,247.21,2.41,9.96
HCLTECH,1179.4,2.86,9.66
SBIN,948.8,1.0,7.86
TECHM,1467.1,2.59,4.77
TMPV,361.2,2.28,3.77
WIPRO,195.17,1.56,2.17
SBILIFE,1881.4,1.13,2.0
M&M,3092.3,0.28,1.83
TRENT,4069.6,0.93,1.78
ADANIENT,2725.0,1.31,1.7
POWERGRID,298.6,0.69,1.68
MAXHEALTH,1068.75,0.96,1.56
HDFCLIFE,610.4,0.9,1.51
BAJFINANCE,923.55,0.27,1.43
NTPC,389.4,0.28,0.87
LT,3921.0,0.08,0.75
JIOFIN,233.28,0.28,0.57
DRREDDY,1335.2,0.3,0.45
ITC,310.3,0.05,0.39
AXISBANK,1238.3,0.03,0.21
BAJAJ-AUTO,10205.0,0.06,0.12
APOLLOHOSP,8026.0,0.07,0.1
NESTLEIND,1431.4,-0.02,-0.04
BAJAJFINSV,1749.8,-0.19,-0.44
ONGC,296.5,-0.24,-0.46
TATASTEEL,209.29,-0.2,-0.58
GRASIM,2935.2,-0.29,-0.61
EICHERMOT,6882.5,-0.44,-0.82
HINDALCO,1048.3,-0.46,-1.08
JSWSTEEL,1285.2,-0.59,-1.3
ASIANPAINT,2600.7,-0.51,-1.32
SHRIRAMFIN,927.35,-0.68,-1.54
MARUTI,12956.0,-0.46,-1.89
COALINDIA,456.95,-1.11,-1.91
CIPLA,1409.8,-1.15,-1.96
TATACONSUM,1210.9,-1.63,-2.43
BEL,422.95,-0.86,-2.58
INDIGO,4230.3,-1.06,-2.73
ADANIPORTS,1762.8,-1.39,-3.05
HINDUNILVR,2232.9,-0.94,-4.0
SUNPHARMA,1882.3,-1.23,-4.47
ULTRACEMCO,11368.0,-1.67,-4.69
TITAN,4102.0,-1.62,-5.09
BHARTIARTL,1913.5,-1.27,-14.4
KOTAKBANK,381.95,-2.51,-15.24
ICICIBANK,1240.8,-0.82,-16.13
RELIANCE,1322.7,-0.99,-20.16
HDFCBANK,762.45,-0.81,-24.3
