symbol,ltp,changepct,contribution
INFY,1139.9,-2.51,-28.53
ITC,273.05,-1.85,-14.78
BHARTIARTL,1969.3,-1.14,-13.29
TCS,2313.2,-2.02,-13.1
SUNPHARMA,1882.0,-2.49,-9.31
HCLTECH,1325.0,-2.57,-8.93
M&M,3390.4,-1.11,-7.44
SBIN,1061.2,-0.61,-4.93
HINDUNILVR,2055.0,-1.06,-4.63
NESTLEIND,1470.0,-1.94,-3.63
NTPC,337.0,-0.88,-2.8
TECHM,1610.0,-1.4,-2.65
ICICIBANK,1415.3,-0.12,-2.43
MARUTI,13760.0,-0.53,-2.24
CIPLA,1431.5,-1.28,-2.24
TMPV,330.2,-1.29,-2.19
TRENT,2946.0,-1.07,-2.11
INDIGO,5275.5,-0.65,-1.72
WIPRO,181.9,-1.14,-1.63
APOLLOHOSP,8825.5,-1.06,-1.62
ADANIENT,3007.3,-0.92,-1.23
ADANIPORTS,1691.0,-0.53,-1.2
DRREDDY,1192.0,-0.67,-1.03
TATACONSUM,1072.6,-0.64,-0.98
ASIANPAINT,2687.5,-0.33,-0.88
MAXHEALTH,1003.7,-0.49,-0.82
ETERNAL,318.0,-0.16,-0.68
BAJAJ-AUTO,11663.0,-0.32,-0.65
SBILIFE,1790.4,-0.26,-0.47
EICHERMOT,8050.0,-0.2,-0.38
BAJAJFINSV,2005.0,-0.16,-0.38
