symbol,ltp,changepct,contribution
ICICIBANK,1422.8,-1.42,-28.6
ITC,266.0,-1.13,-8.99
ULTRACEMCO,11589.0,-1.1,-3.16
SHRIRAMFIN,1086.9,-1.3,-3.02
ASIANPAINT,2608.7,-0.85,-2.26
MARUTI,13376.0,-0.48,-2.02
BAJFINANCE,1079.9,-0.29,-1.58
SBILIFE,1761.1,-0.69,-1.25
INDIGO,5166.0,-0.45,-1.19
BAJAJFINSV,2002.0,-0.45,-1.08
EICHERMOT,8059.0,-0.51,-0.97
ADANIPORTS,1707.5,-0.38,-0.85
NTPC,330.05,-0.26,-0.82
KOTAKBANK,423.7,-0.12,-0.75
ETERNAL,328.0,-0.15,-0.63
TATASTEEL,186.5,-0.16,-0.48
JSWSTEEL,1334.9,-0.19,-0.43
TATACONSUM,1040.7,-0.12,-0.18
ADANIENT,3168.5,-0.02,-0.03
