symbol,ltp,changepct,contribution
RELIANCE,1414.4,2.09,41.64
INFY,1255.9,2.79,30.18
BHARTIARTL,1846.1,1.03,11.43
TATASTEEL,196.77,3.18,9.04
TCS,2390.6,1.45,8.95
JSWSTEEL,1169.6,3.31,7.12
SBIN,1058.0,0.86,6.62
SUNPHARMA,1777.1,1.84,6.55
ETERNAL,232.29,1.53,6.19
TECHM,1384.8,3.19,5.75
NTPC,380.95,1.81,5.48
HCLTECH,1333.7,1.64,5.42
TITAN,4106.6,1.67,5.13
COALINDIA,468.15,2.98,5.03
ITC,299.95,0.65,4.94
M&M,3066.1,0.68,4.34
TRENT,3559.6,2.18,4.08
BAJAJ-AUTO,9051.0,2.02,3.88
EICHERMOT,6909.0,1.68,3.07
ULTRACEMCO,10934.0,1.1,3.03
DRREDDY,1298.9,1.88,2.74
TMPV,314.1,1.53,2.48
CIPLA,1256.4,1.37,2.28
APOLLOHOSP,7364.5,1.53,2.23
MAXHEALTH,964.8,1.21,1.93
WIPRO,190.9,1.3,1.77
ADANIPORTS,1365.4,0.69,1.48
ASIANPAINT,2195.4,0.43,1.09
NESTLEIND,1193.6,0.61,1.09
HINDUNILVR,2082.7,0.26,1.08
TATACONSUM,1050.2,0.53,0.77
POWERGRID,297.6,0.3,0.71
GRASIM,2616.3,0.32,0.66
LT,3434.8,0.01,0.09
MARUTI,12601.0,0.02,0.08
