symbol,ltp,changepct,contribution
ICICIBANK,1242.0,1.26,24.57
HDFCBANK,753.65,0.72,21.4
SBIN,970.45,1.44,11.22
BHARTIARTL,1824.1,0.55,6.18
APOLLOHOSP,8290.5,2.48,3.66
TMPV,398.15,2.04,3.34
KOTAKBANK,381.0,0.51,3.07
MAXHEALTH,965.55,1.78,2.87
M&M,3011.1,0.43,2.78
INDIGO,4512.1,1.03,2.63
POWERGRID,285.05,1.03,2.48
AXISBANK,1255.2,0.33,2.29
TRENT,4257.6,1.12,2.12
ONGC,267.75,1.02,1.96
TATASTEEL,211.89,0.61,1.76
TITAN,4088.8,0.26,0.81
MARUTI,13044.0,0.17,0.69
JSWSTEEL,1312.9,0.16,0.35
SHRIRAMFIN,912.95,0.14,0.31
GRASIM,3101.6,0.13,0.27
ASIANPAINT,2662.4,0.06,0.15
COALINDIA,472.3,0.03,0.05
