symbol,ltp,changepct,contribution
ICICIBANK,1420.0,0.57,11.52
KOTAKBANK,402.8,1.35,8.41
HDFCBANK,726.95,0.26,8.01
POWERGRID,272.4,2.79,6.97
RELIANCE,1316.0,0.21,4.39
HDFCLIFE,554.8,2.31,3.98
BEL,414.0,1.11,3.42
LT,4093.0,0.29,2.79
BHARTIARTL,1946.0,0.22,2.56
NESTLEIND,1477.1,1.29,2.41
NTPC,340.0,0.74,2.35
BAJAJFINSV,2032.5,0.81,1.94
ASIANPAINT,2640.0,0.56,1.49
COALINDIA,405.2,0.67,1.19
TITAN,5086.1,0.36,1.16
SBILIFE,1792.9,0.61,1.11
TCS,2302.0,0.17,1.1
HINDALCO,1034.0,0.4,0.96
SBIN,1048.7,0.07,0.57
ADANIPORTS,1700.0,0.24,0.54
GRASIM,3308.0,0.24,0.52
SHRIRAMFIN,1130.0,0.16,0.37
MAXHEALTH,1000.0,0.21,0.35
ADANIENT,2997.0,0.07,0.09
ETERNAL,328.0,0.02,0.08
BAJFINANCE,1095.0,0.0,0.0
