symbol,ltp,changepct,contribution
HDFCBANK,793.2,2.39,72.91
ICICIBANK,1373.6,2.64,52.83
INFY,1056.6,2.65,29.79
BAJFINANCE,990.95,2.97,16.05
TCS,2109.0,2.4,15.39
INDIGO,5207.2,4.95,12.96
AXISBANK,1384.5,1.54,10.95
SBIN,1034.6,1.02,8.16
KOTAKBANK,405.95,1.07,6.61
TRENT,3247.0,3.31,6.44
RELIANCE,1313.6,0.31,6.42
TECHM,1461.6,3.25,6.09
M&M,3064.5,0.9,5.97
SHRIRAMFIN,1019.0,2.58,5.95
ADANIENT,3069.7,3.6,4.76
ADANIPORTS,1813.3,1.64,3.66
DRREDDY,1328.4,2.08,3.15
ULTRACEMCO,11430.0,1.09,3.12
BAJAJFINSV,1780.5,0.88,2.09
APOLLOHOSP,8573.5,1.01,1.53
HCLTECH,1113.9,0.4,1.37
TITAN,4323.8,0.43,1.37
SUNPHARMA,1874.4,0.34,1.26
ITC,290.35,0.12,0.95
JIOFIN,238.87,0.45,0.93
ASIANPAINT,2667.5,0.24,0.63
CIPLA,1437.9,0.33,0.57
LT,4181.7,0.06,0.57
MAXHEALTH,1081.7,0.34,0.56
WIPRO,174.48,-0.01,-0.01
EICHERMOT,7572.0,-0.08,-0.15
HINDUNILVR,2157.8,-0.11,-0.48
TATACONSUM,1098.1,-0.52,-0.79
POWERGRID,290.9,-0.36,-0.89
COALINDIA,441.75,-0.59,-1.03
GRASIM,3127.9,-0.52,-1.11
NESTLEIND,1382.6,-0.69,-1.28
HDFCLIFE,591.75,-0.95,-1.62
SBILIFE,1767.7,-1.04,-1.87
JSWSTEEL,1231.2,-0.89,-1.99
TMPV,349.7,-1.37,-2.3
HINDALCO,976.6,-1.03,-2.45
ONGC,240.0,-1.78,-3.51
ETERNAL,256.35,-1.0,-4.2
BEL,413.55,-1.54,-4.7
TATASTEEL,190.16,-1.76,-5.2
BAJAJ-AUTO,9750.0,-2.74,-5.46
MARUTI,13248.0,-1.51,-6.31
NTPC,357.05,-2.07,-6.51
BHARTIARTL,1877.3,-1.28,-14.76
