symbol,ltp,changepct,contribution
ICICIBANK,1384.1,0.34,7.82
TECHM,1468.0,1.18,2.58
WIPRO,248.42,1.34,2.09
APOLLOHOSP,7759.0,1.15,1.85
HINDUNILVR,2502.3,0.38,1.81
RELIANCE,1375.9,0.07,1.52
POWERGRID,287.5,0.47,1.5
BAJAJ-AUTO,9102.5,0.4,0.81
HDFCBANK,977.15,0.02,0.67
SHRIRAMFIN,674.45,0.34,0.67
ONGC,244.69,0.25,0.54
TITAN,3537.4,0.11,0.35
TATACONSUM,1118.9,0.17,0.29
HEROMOTOCO,5571.5,0.22,0.25
HCLTECH,1495.4,0.05,0.19
SBILIFE,1816.2,0.05,0.09
M&M,3459.8,0.0,0.0
KOTAKBANK,2151.8,-0.01,-0.07
BAJAJFINSV,2019.4,-0.05,-0.12
COALINDIA,380.95,-0.16,-0.32
ADANIENT,2517.0,-0.41,-0.56
EICHERMOT,6887.0,-0.36,-0.63
ETERNAL,347.75,-0.17,-0.63
HDFCLIFE,743.55,-0.4,-0.72
ADANIPORTS,1429.0,-0.61,-1.26
MARUTI,16261.0,-0.38,-1.4
CIPLA,1552.3,-0.72,-1.43
INDUSINDBK,750.4,-1.25,-1.57
JIOFIN,305.6,-0.92,-1.78
GRASIM,2775.8,-0.79,-1.89
NESTLEIND,1175.5,-1.06,-2.08
ULTRACEMCO,12070.0,-0.84,-2.6
ASIANPAINT,2318.1,-1.04,-2.62
JSWSTEEL,1147.8,-1.17,-2.62
HINDALCO,760.1,-1.31,-2.7
INFY,1489.9,-0.22,-2.72
DRREDDY,1237.3,-1.99,-3.3
TRENT,4617.2,-1.38,-3.61
SUNPHARMA,1654.4,-0.84,-3.78
TATASTEEL,170.51,-1.46,-3.85
BEL,402.4,-1.71,-4.39
SBIN,876.95,-0.68,-4.7
BHARTIARTL,1946.6,-0.42,-4.79
ITC,396.8,-0.61,-5.52
NTPC,336.65,-1.48,-5.69
LT,3744.3,-0.67,-6.0
AXISBANK,1176.8,-1.08,-8.36
BAJFINANCE,1019.15,-1.7,-8.76
TCS,2960.3,-1.56,-12.55
TATAMOTORS,395.45,-40.15,-123.17
