symbol,ltp,changepct,contribution
HDFCLIFE,557.0,5.05,8.34
BEL,395.45,2.51,7.42
TMPV,314.5,4.49,7.31
SBILIFE,1766.9,4.06,7.09
LT,3836.2,0.75,6.91
ETERNAL,322.35,1.69,6.88
TATASTEEL,187.29,2.34,6.7
RELIANCE,1243.9,0.31,6.22
INDIGO,4845.0,2.36,5.99
ITC,266.2,0.78,5.97
MARUTI,12338.0,1.41,5.71
BAJFINANCE,1015.0,0.87,4.56
DRREDDY,1175.0,3.07,4.5
ASIANPAINT,2454.0,1.55,3.97
JIOFIN,229.3,1.98,3.96
SHRIRAMFIN,995.0,1.63,3.64
BAJAJFINSV,1859.2,1.21,2.79
SUNPHARMA,1867.3,0.74,2.65
NTPC,329.6,0.8,2.44
CIPLA,1376.3,1.35,2.26
KOTAKBANK,416.5,0.36,2.15
TATACONSUM,1013.7,1.36,1.99
MAXHEALTH,1037.0,1.17,1.88
HINDALCO,980.5,0.8,1.84
ADANIPORTS,1738.3,0.84,1.82
ULTRACEMCO,10764.0,0.6,1.66
HCLTECH,1258.3,0.42,1.4
M&M,3076.5,0.21,1.35
TRENT,2789.0,0.7,1.32
APOLLOHOSP,8768.5,0.83,1.22
POWERGRID,263.75,0.36,0.86
JSWSTEEL,1253.4,0.36,0.78
BHARTIARTL,1836.0,0.05,0.56
TECHM,1561.0,0.19,0.34
TCS,2190.0,0.05,0.31
ADANIENT,2923.2,0.11,0.14
