symbol,ltp,changepct,contribution
RELIANCE,1357.2,-2.11,-44.58
INFY,1469.6,-2.08,-24.95
HDFCBANK,951.6,-0.65,-21.12
M&M,3199.5,-2.99,-17.24
AXISBANK,1045.2,-0.64,-4.82
NTPC,327.55,-0.99,-3.7
TATAMOTORS,669.0,-0.96,-2.86
APOLLOHOSP,7610.0,-1.55,-2.42
TCS,3084.7,-0.29,-2.27
TECHM,1481.4,-0.96,-2.04
ICICIBANK,1397.8,-0.09,-2.01
JSWSTEEL,1026.6,-0.9,-1.96
ADANIENT,2244.7,-1.36,-1.79
ETERNAL,313.95,-0.49,-1.76
BAJAJ-AUTO,8631.5,-0.67,-1.33
INDUSINDBK,739.5,-0.96,-1.17
SBILIFE,1805.5,-0.63,-1.11
NESTLEIND,1156.2,-0.54,-1.03
EICHERMOT,6103.0,-0.49,-0.84
TITAN,3628.8,-0.25,-0.78
WIPRO,249.41,-0.5,-0.76
HDFCLIFE,772.05,-0.43,-0.76
GRASIM,2775.6,-0.31,-0.72
BAJAJFINSV,1913.5,-0.21,-0.49
ADANIPORTS,1312.8,-0.2,-0.4
HEROMOTOCO,5087.7,-0.08,-0.09
