symbol,ltp,changepct,contribution
RELIANCE,1349.6,-0.74,-15.09
BHARTIARTL,1885.3,-1.03,-11.69
INFY,1181.2,-1.05,-11.62
BAJFINANCE,907.65,-1.67,-8.89
HINDUNILVR,2179.0,-1.37,-5.83
M&M,3099.0,-0.74,-4.83
KOTAKBANK,380.85,-0.61,-3.71
NTPC,388.8,-0.93,-2.88
BAJAJFINSV,1752.2,-1.12,-2.62
TECHM,1420.0,-1.32,-2.44
ETERNAL,242.05,-0.53,-2.19
SHRIRAMFIN,914.75,-0.94,-2.13
TITAN,4083.1,-0.57,-1.79
NESTLEIND,1406.5,-0.96,-1.75
TATACONSUM,1194.9,-1.14,-1.7
ONGC,295.85,-0.82,-1.59
HDFCBANK,759.15,-0.05,-1.5
HCLTECH,1168.2,-0.14,-0.47
SBILIFE,1859.9,-0.23,-0.41
DRREDDY,1318.5,-0.26,-0.39
ADANIENT,2697.6,-0.27,-0.35
JSWSTEEL,1281.3,-0.15,-0.33
POWERGRID,299.55,-0.12,-0.29
TCS,2327.2,-0.01,-0.06
