symbol,ltp,changepct,contribution
GRASIM,3154.5,6.17,12.99
ICICIBANK,1242.8,0.44,8.67
INDIGO,4403.0,3.25,8.38
BEL,420.4,1.72,5.17
LT,3928.5,0.46,4.31
APOLLOHOSP,8308.5,2.85,4.25
BAJAJ-AUTO,10667.0,1.95,3.83
TRENT,4170.4,1.72,3.3
HINDALCO,1099.3,1.27,2.97
ADANIPORTS,1793.3,1.17,2.57
HDFCLIFE,614.35,1.53,2.57
MAXHEALTH,1091.1,1.43,2.33
TATASTEEL,208.58,0.76,2.21
SUNPHARMA,1891.3,0.59,2.15
AXISBANK,1253.3,0.28,1.96
WIPRO,199.74,1.33,1.86
ULTRACEMCO,11474.0,0.57,1.6
ITC,308.05,0.16,1.25
EICHERMOT,6892.0,0.62,1.16
JIOFIN,235.78,0.47,0.96
COALINDIA,460.2,0.33,0.57
CIPLA,1401.9,0.17,0.29
MARUTI,13010.0,0.05,0.21
TMPV,361.35,0.03,0.05
ASIANPAINT,2598.8,0.01,0.03
SBIN,950.9,0.0,0.0
TCS,2327.2,-0.01,-0.06
POWERGRID,299.55,-0.12,-0.29
JSWSTEEL,1281.3,-0.15,-0.33
ADANIENT,2697.6,-0.27,-0.35
DRREDDY,1318.5,-0.26,-0.39
SBILIFE,1859.9,-0.23,-0.41
HCLTECH,1168.2,-0.14,-0.47
HDFCBANK,759.15,-0.05,-1.5
ONGC,295.85,-0.82,-1.59
TATACONSUM,1194.9,-1.14,-1.7
NESTLEIND,1406.5,-0.96,-1.75
TITAN,4083.1,-0.57,-1.79
SHRIRAMFIN,914.75,-0.94,-2.13
ETERNAL,242.05,-0.53,-2.19
TECHM,1420.0,-1.32,-2.44
BAJAJFINSV,1752.2,-1.12,-2.62
NTPC,388.8,-0.93,-2.88
KOTAKBANK,380.85,-0.61,-3.71
M&M,3099.0,-0.74,-4.83
HINDUNILVR,2179.0,-1.37,-5.83
BAJFINANCE,907.65,-1.67,-8.89
INFY,1181.2,-1.05,-11.62
BHARTIARTL,1885.3,-1.03,-11.69
RELIANCE,1349.6,-0.74,-15.09
