symbol,ltp,changepct,contribution
RELIANCE,1484.1,2.24,50.31
BHARTIARTL,2080.1,2.5,29.47
HDFCBANK,1002.95,0.82,28.32
SBIN,922.75,2.02,14.42
ITC,420.65,0.92,8.6
ETERNAL,333.7,2.17,8.28
AXISBANK,1254.1,0.98,7.84
GRASIM,2923.9,2.91,7.18
SBILIFE,1903.1,3.44,6.43
TCS,3084.9,0.71,5.9
TMPV,410.05,1.67,5.29
LT,3923.8,0.48,4.44
HINDALCO,840.85,1.99,4.24
TATASTEEL,176.66,1.27,3.46
POWERGRID,291.05,0.88,2.9
MARUTI,16388.0,0.7,2.65
ULTRACEMCO,12015.0,0.81,2.59
INDUSINDBK,770.05,1.99,2.58
HCLTECH,1533.5,0.64,2.51
NTPC,341.75,0.63,2.5
TATACONSUM,1169.9,1.26,2.26
HEROMOTOCO,5646.5,1.91,2.23
TITAN,3739.8,0.67,2.21
JSWSTEEL,1150.6,0.81,1.87
ASIANPAINT,2518.8,0.69,1.79
EICHERMOT,6906.5,0.97,1.76
TECHM,1462.8,0.63,1.42
COALINDIA,396.7,0.67,1.39
BAJAJFINSV,2170.2,0.5,1.25
SHRIRAMFIN,719.6,0.58,1.17
WIPRO,243.91,0.38,0.61
HDFCLIFE,737.25,0.31,0.58
TRENT,4798.7,0.19,0.51
BAJAJ-AUTO,9095.5,0.21,0.44
APOLLOHOSP,7845.5,0.1,0.17
NESTLEIND,1283.0,0.08,0.16
DRREDDY,1284.3,0.05,0.09
