symbol,ltp,changepct,contribution
ICICIBANK,1400.5,1.13,23.99
TCS,2629.3,2.16,14.7
INFY,1290.1,1.14,13.6
M&M,3491.3,1.69,11.89
HCLTECH,1378.2,2.91,10.6
LT,4298.5,0.92,9.28
AXISBANK,1403.0,1.11,8.37
TATASTEEL,214.64,2.63,8.24
SUNPHARMA,1764.2,1.87,7.34
BAJAJ-AUTO,10097.0,2.73,5.77
SHRIRAMFIN,1085.9,2.28,5.58
INDIGO,4947.4,2.0,5.56
MARUTI,15070.0,0.96,4.26
HINDALCO,937.4,1.58,3.99
JSWSTEEL,1275.0,1.63,3.86
COALINDIA,438.6,1.78,3.31
BEL,439.3,0.98,3.17
HINDUNILVR,2374.9,0.69,3.16
ADANIENT,2231.7,2.23,3.13
CIPLA,1346.1,1.46,2.68
TECHM,1361.8,1.22,2.42
TITAN,4325.0,0.71,2.41
POWERGRID,307.25,0.8,2.1
TMPV,381.85,1.14,2.03
EICHERMOT,8008.0,1.0,2.01
ULTRACEMCO,13041.0,0.62,1.88
NTPC,384.9,0.56,1.87
JIOFIN,256.95,0.67,1.47
WIPRO,201.92,0.89,1.34
APOLLOHOSP,7783.0,0.81,1.3
DRREDDY,1306.5,0.48,0.77
BAJAJFINSV,2049.3,0.29,0.73
ONGC,277.45,0.34,0.71
NESTLEIND,1323.4,0.26,0.51
ASIANPAINT,2416.4,0.14,0.39
MAXHEALTH,1088.1,0.16,0.28
HDFCLIFE,735.25,0.07,0.13
GRASIM,2878.4,-0.03,-0.07
TRENT,3922.0,-0.24,-0.5
TATACONSUM,1172.3,-0.48,-0.77
SBILIFE,2073.6,-0.45,-0.86
BAJFINANCE,1021.05,-0.24,-1.38
ADANIPORTS,1528.7,-1.72,-4.08
KOTAKBANK,424.95,-0.64,-4.19
ETERNAL,250.2,-1.5,-6.69
ITC,319.75,-1.16,-9.73
HDFCBANK,907.6,-0.32,-10.36
SBIN,1200.1,-1.9,-16.12
BHARTIARTL,1913.4,-1.42,-17.37
RELIANCE,1398.5,-2.12,-46.57
