symbol,ltp,changepct,contribution
RELIANCE,1257.5,-1.31,-26.42
SBIN,995.7,-1.41,-10.99
HINDALCO,981.5,-3.31,-7.67
ICICIBANK,1379.3,-0.38,-7.41
JSWSTEEL,1265.0,-3.08,-6.7
MARUTI,12400.0,-1.53,-6.23
TATASTEEL,183.0,-2.07,-5.96
LT,3930.7,-0.62,-5.74
BHARTIARTL,1831.1,-0.43,-4.83
BAJFINANCE,1034.5,-0.87,-4.58
SUNPHARMA,1840.0,-1.14,-4.11
EICHERMOT,7530.0,-2.22,-4.1
ONGC,232.5,-2.05,-3.93
M&M,3107.0,-0.54,-3.49
HINDUNILVR,1927.0,-0.79,-3.33
BAJAJFINSV,1913.5,-1.41,-3.27
ASIANPAINT,2472.5,-1.04,-2.68
POWERGRID,269.1,-0.98,-2.36
GRASIM,3281.9,-1.13,-2.35
COALINDIA,426.4,-1.31,-2.24
SHRIRAMFIN,1028.6,-0.91,-2.04
SBILIFE,1684.7,-0.94,-1.65
BAJAJ-AUTO,11678.0,-0.77,-1.5
NTPC,333.4,-0.48,-1.47
TATACONSUM,991.0,-0.87,-1.28
TRENT,2802.4,-0.58,-1.1
APOLLOHOSP,8836.0,-0.72,-1.06
TCS,2200.8,-0.15,-0.94
CIPLA,1366.0,-0.53,-0.89
TITAN,5009.5,-0.23,-0.72
ADANIENT,3060.0,-0.56,-0.72
BEL,404.35,-0.16,-0.48
ADANIPORTS,1764.6,-0.19,-0.41
NESTLEIND,1383.3,-0.21,-0.38
JIOFIN,229.9,-0.15,-0.3
HCLTECH,1206.1,-0.07,-0.23
MAXHEALTH,1037.7,-0.09,-0.15
