symbol,ltp,changepct,contribution
M&M,3403.0,0.82,4.81
BHARTIARTL,1933.3,0.18,2.03
MARUTI,14349.0,0.48,1.74
SUNPHARMA,1641.8,0.1,0.45
BEL,374.85,0.17,0.43
TITAN,3621.0,0.13,0.41
DRREDDY,1277.6,0.08,0.13
CIPLA,1592.8,0.0,0.0
APOLLOHOSP,7922.5,-0.05,-0.08
BAJAJ-AUTO,8679.5,-0.06,-0.12
BAJFINANCE,894.5,-0.12,-0.61
TATACONSUM,1084.1,-0.37,-0.63
POWERGRID,283.35,-0.23,-0.73
WIPRO,248.64,-0.51,-0.79
HINDALCO,704.2,-0.44,-0.9
INDUSINDBK,760.1,-0.97,-1.21
SHRIRAMFIN,615.85,-0.64,-1.24
EICHERMOT,5924.5,-0.85,-1.48
HDFCLIFE,788.75,-0.85,-1.52
TRENT,5418.0,-0.64,-1.66
BAJAJFINSV,1965.9,-0.72,-1.72
SBILIFE,1859.0,-0.98,-1.75
ONGC,236.29,-0.85,-1.82
JIOFIN,320.6,-1.01,-1.93
COALINDIA,374.45,-0.99,-1.97
NTPC,337.0,-0.53,-2.02
HEROMOTOCO,4997.9,-1.98,-2.22
TATAMOTORS,680.3,-0.75,-2.28
TECHM,1505.0,-1.08,-2.34
NESTLEIND,1162.9,-1.42,-2.75
ADANIENT,2324.9,-2.25,-3.02
ETERNAL,319.1,-0.85,-3.11
ADANIPORTS,1341.2,-1.54,-3.14
HINDUNILVR,2629.9,-0.69,-3.24
JSWSTEEL,1054.6,-1.63,-3.61
LT,3595.8,-0.47,-4.16
TATASTEEL,158.55,-1.87,-4.88
GRASIM,2813.8,-2.4,-5.67
AXISBANK,1070.9,-0.75,-5.74
ASIANPAINT,2504.5,-2.48,-6.17
ULTRACEMCO,12589.0,-2.23,-6.82
HCLTECH,1466.3,-1.86,-6.99
INFY,1487.5,-0.6,-7.33
SBIN,816.25,-1.16,-7.93
KOTAKBANK,1986.6,-1.57,-11.52
TCS,3054.0,-1.59,-12.65
ICICIBANK,1436.4,-0.67,-15.25
ITC,398.3,-1.82,-16.29
RELIANCE,1409.2,-1.11,-23.88
HDFCBANK,1964.6,-1.35,-44.65
