symbol,ltp,changepct,contribution
M&M,3757.3,2.07,14.97
RELIANCE,1567.5,0.26,5.87
SBIN,979.0,0.63,5.5
SUNPHARMA,1831.6,1.18,4.76
KOTAKBANK,2124.4,0.67,4.51
HINDUNILVR,2466.6,0.61,2.88
BAJFINANCE,1037.5,0.36,2.12
ADANIENT,2280.2,1.12,1.61
EICHERMOT,7053.5,0.78,1.61
ADANIPORTS,1516.9,0.52,1.27
DRREDDY,1258.8,0.76,1.25
BAJAJ-AUTO,9073.5,0.57,1.24
TECHM,1517.3,0.5,1.02
CIPLA,1531.3,0.4,0.75
TITAN,3907.7,0.11,0.38
APOLLOHOSP,7335.5,0.18,0.3
HINDALCO,808.4,0.11,0.29
TCS,3137.5,0.03,0.21
MAXHEALTH,1162.8,0.09,0.16
