symbol,ltp,changepct,contribution
RELIANCE,1423.0,-0.98,-21.73
ETERNAL,281.5,-1.78,-8.01
ICICIBANK,1407.5,-0.29,-6.21
BHARTIARTL,2020.3,-0.45,-5.56
HINDALCO,890.1,-1.91,-4.86
TATASTEEL,203.08,-1.33,-4.21
M&M,3489.2,-0.58,-4.12
TRENT,4171.9,-1.36,-2.83
SHRIRAMFIN,1075.0,-0.96,-2.37
KOTAKBANK,424.45,-0.27,-1.79
CIPLA,1343.9,-0.92,-1.7
HINDUNILVR,2312.3,-0.29,-1.34
GRASIM,2900.4,-0.42,-0.96
BAJAJFINSV,2044.4,-0.32,-0.81
NESTLEIND,1285.3,-0.35,-0.69
JSWSTEEL,1244.6,-0.29,-0.69
NTPC,368.4,-0.19,-0.64
AXISBANK,1357.2,-0.08,-0.61
COALINDIA,421.55,-0.22,-0.41
APOLLOHOSP,7601.5,-0.22,-0.36
HDFCBANK,925.7,-0.01,-0.33
SBILIFE,2039.5,-0.14,-0.27
JIOFIN,262.3,-0.1,-0.22
