symbol,ltp,changepct,contribution
INFY,1391.2,1.87,22.51
ITC,325.45,2.36,19.97
LT,4279.8,1.86,18.95
BEL,446.85,2.02,6.6
HCLTECH,1482.6,1.42,5.22
ASIANPAINT,2437.4,1.68,4.75
TITAN,4236.4,1.32,4.52
ADANIPORTS,1566.3,1.7,4.07
SUNPHARMA,1717.1,0.98,3.88
MARUTI,15179.0,0.85,3.8
ADANIENT,2242.9,2.67,3.78
SBIN,1213.4,0.44,3.77
BAJAJ-AUTO,9826.5,1.33,2.84
TCS,2717.4,0.4,2.75
TMPV,382.85,1.48,2.67
INDIGO,4977.0,0.73,2.05
DRREDDY,1284.8,1.21,1.96
WIPRO,215.69,1.14,1.73
TECHM,1523.8,0.73,1.46
TATACONSUM,1148.5,0.82,1.33
BAJFINANCE,1014.15,0.14,0.81
EICHERMOT,8035.0,0.31,0.63
HDFCLIFE,705.8,0.27,0.49
ONGC,271.85,0.11,0.23
POWERGRID,300.75,0.08,0.21
ULTRACEMCO,12984.0,0.02,0.06
MAXHEALTH,1076.15,0.03,0.05
