symbol,ltp,changepct,contribution
INFY,1154.6,-7.45,-83.32
TCS,2396.9,-5.21,-33.24
ICICIBANK,1326.2,-1.64,-32.65
RELIANCE,1327.8,-1.17,-24.1
HCLTECH,1203.2,-6.18,-21.12
BHARTIARTL,1814.5,-1.47,-16.86
SUNPHARMA,1620.4,-3.68,-13.54
ITC,301.6,-1.23,-9.67
LT,4014.3,-0.99,-9.37
TECHM,1358.5,-4.64,-8.65
HINDUNILVR,2327.3,-1.68,-7.23
SBILIFE,1768.9,-3.35,-6.0
ETERNAL,256.79,-1.22,-5.1
ULTRACEMCO,11998.0,-1.41,-4.01
ASIANPAINT,2485.1,-1.46,-3.84
BEL,444.45,-1.24,-3.76
MARUTI,13048.0,-0.86,-3.58
TITAN,4410.0,-1.05,-3.34
HDFCLIFE,588.2,-1.78,-3.02
BAJAJFINSV,1770.7,-1.24,-2.93
ADANIPORTS,1585.1,-1.12,-2.49
JIOFIN,245.73,-1.19,-2.45
WIPRO,199.36,-1.71,-2.41
POWERGRID,316.4,-0.87,-2.14
M&M,3038.4,-0.31,-2.04
AXISBANK,1365.9,-0.27,-1.91
INDIGO,4523.1,-0.73,-1.9
DRREDDY,1317.1,-1.06,-1.6
CIPLA,1295.0,-0.84,-1.45
TATACONSUM,1174.0,-0.89,-1.34
MAXHEALTH,999.4,-0.74,-1.22
TATASTEEL,210.07,-0.4,-1.18
ONGC,284.8,-0.51,-1.0
APOLLOHOSP,7732.5,-0.63,-0.95
ADANIENT,2287.6,-0.54,-0.71
TMPV,350.5,-0.41,-0.69
NTPC,401.85,-0.1,-0.31
JSWSTEEL,1255.7,-0.1,-0.22
