symbol,ltp,changepct,contribution
ICICIBANK,1437.0,1.69,36.23
ETERNAL,294.55,3.26,14.68
SBIN,1028.45,1.31,11.23
ONGC,243.78,3.42,7.22
TCS,3268.0,0.88,6.05
HINDALCO,936.3,1.76,4.48
TECHM,1614.8,1.81,3.63
MAXHEALTH,1028.2,1.43,2.54
INFY,1599.0,0.19,2.29
BAJAJFINSV,2011.2,0.62,1.58
SHRIRAMFIN,979.05,0.64,1.58
BAJAJ-AUTO,9554.0,0.66,1.41
HDFCBANK,937.35,0.04,1.31
APOLLOHOSP,7311.5,0.59,0.96
NESTLEIND,1318.7,0.48,0.95
WIPRO,264.2,0.42,0.64
TITAN,4239.2,0.18,0.62
NTPC,337.9,0.13,0.44
POWERGRID,258.8,0.1,0.27
