symbol,ltp,changepct,contribution
ICICIBANK,1460.2,1.1,22.21
BHARTIARTL,1940.1,1.64,19.08
SBIN,1060.0,1.5,12.11
LT,3838.8,0.64,6.14
TRENT,2925.9,2.94,5.77
ITC,282.7,0.71,5.66
HCLTECH,1221.3,1.45,5.03
NTPC,347.25,1.58,5.02
SUNPHARMA,1956.4,1.23,4.59
POWERGRID,288.7,1.82,4.54
ULTRACEMCO,11903.0,1.5,4.33
BAJFINANCE,1064.0,0.73,3.98
JSWSTEEL,1257.0,1.59,3.58
CIPLA,1441.6,1.61,2.81
NESTLEIND,1446.3,1.34,2.5
GRASIM,3143.8,1.1,2.37
MAXHEALTH,1102.4,1.15,1.92
ONGC,249.58,0.93,1.85
BAJAJ-AUTO,10522.5,0.76,1.53
DRREDDY,1223.1,0.98,1.5
APOLLOHOSP,8905.0,0.9,1.37
ADANIENT,3183.3,0.72,0.96
BAJAJFINSV,1861.5,0.4,0.96
HINDALCO,947.8,0.39,0.94
TATASTEEL,186.41,0.28,0.83
ADANIPORTS,1844.0,0.36,0.81
COALINDIA,429.4,0.41,0.73
ETERNAL,286.95,0.12,0.51
TATACONSUM,1091.9,0.3,0.46
TECHM,1576.4,0.22,0.42
TMPV,336.45,0.25,0.42
TITAN,4643.4,0.11,0.35
HDFCLIFE,564.65,0.18,0.31
WIPRO,176.38,0.22,0.31
ASIANPAINT,2691.4,0.09,0.24
SHRIRAMFIN,1035.4,0.05,0.12
EICHERMOT,7563.5,0.0,0.0
