symbol,ltp,changepct,contribution
ICICIBANK,1399.4,-1.97,-38.79
HDFCBANK,703.0,-1.06,-31.82
RELIANCE,1294.9,-1.11,-22.61
LT,3946.1,-1.32,-12.35
AXISBANK,1244.9,-1.67,-11.68
BHARTIARTL,1844.0,-0.54,-6.13
INFY,1082.0,-0.51,-5.64
ULTRACEMCO,11009.0,-1.49,-4.19
KOTAKBANK,419.25,-0.68,-4.13
TCS,2255.5,-0.64,-4.04
MARUTI,12641.0,-0.93,-3.82
SBILIFE,1696.6,-2.04,-3.62
BAJFINANCE,1054.1,-0.56,-2.98
TATASTEEL,184.15,-0.79,-2.3
ASIANPAINT,2481.6,-0.77,-2.0
SUNPHARMA,1885.9,-0.48,-1.75
SHRIRAMFIN,1029.0,-0.77,-1.75
HCLTECH,1277.0,-0.45,-1.52
TRENT,2793.6,-0.74,-1.42
CIPLA,1384.0,-0.79,-1.34
NTPC,330.8,-0.36,-1.11
JIOFIN,233.15,-0.53,-1.08
WIPRO,171.5,-0.75,-1.05
JSWSTEEL,1297.3,-0.36,-0.79
POWERGRID,265.75,-0.26,-0.63
TECHM,1559.0,-0.32,-0.59
TITAN,4987.0,-0.16,-0.5
TMPV,306.45,-0.18,-0.3
TATACONSUM,1014.1,-0.09,-0.13
BAJAJFINSV,1938.1,-0.03,-0.07
INDIGO,5000.0,-0.02,-0.05
