symbol,ltp,changepct,contribution
INFY,1201.3,-1.74,-19.07
RELIANCE,1303.7,-0.72,-14.53
BAJAJFINSV,1709.8,-1.42,-3.29
BHARTIARTL,1818.9,-0.29,-3.26
HCLTECH,1168.3,-0.91,-3.05
HINDALCO,1125.6,-1.17,-2.71
ULTRACEMCO,10997.0,-0.94,-2.62
LT,3942.1,-0.28,-2.6
HINDUNILVR,2079.4,-0.54,-2.28
JSWSTEEL,1301.1,-0.9,-1.96
SBILIFE,1764.9,-1.08,-1.9
TATASTEEL,210.57,-0.62,-1.79
SUNPHARMA,1780.1,-0.47,-1.69
ADANIPORTS,1790.9,-0.72,-1.57
BAJFINANCE,874.4,-0.27,-1.42
NESTLEIND,1382.9,-0.62,-1.12
AXISBANK,1253.3,-0.15,-1.04
APOLLOHOSP,8249.0,-0.5,-0.74
EICHERMOT,7110.0,-0.28,-0.52
POWERGRID,284.6,-0.16,-0.39
NTPC,366.4,-0.11,-0.34
TCS,2241.0,-0.03,-0.19
INDIGO,4508.8,-0.07,-0.18
HDFCLIFE,573.75,-0.11,-0.18
ONGC,267.55,-0.07,-0.13
ASIANPAINT,2661.6,-0.03,-0.08
TRENT,2837.6,-0.03,-0.06
