symbol,ltp,changepct,contribution
INFY,1528.5,3.81,48.44
TCS,3073.2,2.21,18.31
AXISBANK,1258.8,1.74,13.88
HCLTECH,1523.9,2.55,9.97
KOTAKBANK,2225.6,1.3,9.93
LT,3918.7,0.78,7.19
ITC,415.95,0.75,6.99
SHRIRAMFIN,709.65,2.07,4.18
TITAN,3772.3,1.16,3.81
HDFCBANK,1008.8,0.11,3.79
ONGC,252.31,1.69,3.76
BAJFINANCE,1094.15,0.7,3.72
TATAMOTORS,405.85,1.0,3.16
SBIN,911.55,0.41,2.92
TECHM,1463.4,1.01,2.28
TATASTEEL,174.16,0.8,2.17
HINDALCO,792.4,0.95,2.02
WIPRO,244.3,1.22,1.96
HINDUNILVR,2601.6,0.38,1.86
SBILIFE,1852.7,0.64,1.19
POWERGRID,289.65,0.36,1.18
BAJAJFINSV,2176.6,0.35,0.87
COALINDIA,392.65,0.4,0.83
NTPC,342.65,0.19,0.75
BEL,418.65,0.23,0.61
M&M,3623.6,0.07,0.43
INDUSINDBK,759.6,0.15,0.19
