symbol,ltp,changepct,contribution
BAJFINANCE,1006.5,1.42,7.34
AXISBANK,1144.4,0.75,5.82
ETERNAL,341.85,1.57,5.82
ADANIENT,2629.5,4.18,5.69
ULTRACEMCO,12650.0,1.14,3.53
ADANIPORTS,1444.2,1.15,2.38
HINDUNILVR,2572.2,0.49,2.33
BAJAJ-AUTO,9054.5,0.93,1.9
SBILIFE,1857.7,0.87,1.58
HDFCLIFE,787.8,0.72,1.31
ONGC,237.47,0.33,0.72
HINDALCO,745.7,0.32,0.66
NTPC,339.2,0.16,0.62
POWERGRID,286.65,0.16,0.51
TATACONSUM,1130.1,0.29,0.5
HEROMOTOCO,5429.5,0.4,0.45
BAJAJFINSV,2069.5,0.11,0.27
ASIANPAINT,2482.7,0.04,0.1
COALINDIA,394.7,0.05,0.1
