symbol,ltp,changepct,contribution
SBIN,939.4,-2.47,-19.45
TATASTEEL,209.71,-3.29,-9.57
M&M,3083.7,-1.26,-8.22
POWERGRID,296.55,-3.04,-7.41
MARUTI,13016.0,-1.55,-6.38
NTPC,388.3,-1.76,-5.45
AXISBANK,1237.9,-0.55,-3.85
BAJAJ-AUTO,10198.5,-1.72,-3.38
HINDUNILVR,2254.2,-0.79,-3.36
TRENT,4032.3,-1.68,-3.22
HINDALCO,1053.1,-1.35,-3.16
EICHERMOT,6913.0,-1.45,-2.71
INDIGO,4275.7,-0.91,-2.35
TMPV,353.15,-0.95,-1.57
ONGC,297.2,-0.72,-1.4
ADANIENT,2689.8,-0.96,-1.25
APOLLOHOSP,8020.5,-0.77,-1.15
HDFCLIFE,604.95,-0.62,-1.04
SHRIRAMFIN,933.7,-0.45,-1.02
ADANIPORTS,1787.7,-0.41,-0.9
RELIANCE,1335.9,-0.04,-0.82
CIPLA,1426.2,-0.41,-0.7
DRREDDY,1331.2,-0.41,-0.61
SBILIFE,1860.4,-0.22,-0.39
JIOFIN,232.63,-0.18,-0.37
TATACONSUM,1231.0,-0.24,-0.36
COALINDIA,462.1,-0.02,-0.03
