symbol,ltp,changepct,contribution
HDFCBANK,725.05,0.7,21.54
ICICIBANK,1411.9,0.71,14.33
ITC,271.65,1.72,13.71
BHARTIARTL,1941.7,1.02,11.86
KOTAKBANK,397.35,1.82,11.33
ETERNAL,327.95,2.48,10.52
INFY,1130.0,0.91,10.32
LT,4081.0,0.98,9.4
AXISBANK,1251.0,1.3,9.32
BAJFINANCE,1095.0,1.37,7.47
SHRIRAMFIN,1128.2,2.01,4.68
MARUTI,13809.0,0.87,3.67
RELIANCE,1313.2,0.17,3.55
ULTRACEMCO,11575.0,1.09,3.14
BAJAJ-AUTO,11793.0,1.27,2.55
TCS,2298.0,0.39,2.52
JSWSTEEL,1299.7,1.08,2.43
GRASIM,3300.0,0.92,1.98
CIPLA,1438.0,1.13,1.97
M&M,3424.8,0.29,1.94
ADANIPORTS,1696.0,0.84,1.89
HDFCLIFE,542.0,1.06,1.82
HINDUNILVR,2028.0,0.36,1.57
DRREDDY,1180.0,0.85,1.3
JIOFIN,244.6,0.6,1.25
EICHERMOT,8042.0,0.64,1.23
POWERGRID,264.8,0.49,1.22
WIPRO,181.0,0.81,1.16
TRENT,2970.0,0.58,1.14
COALINDIA,402.5,0.62,1.1
NTPC,337.5,0.28,0.89
SUNPHARMA,1904.0,0.21,0.78
BAJAJFINSV,2016.0,0.2,0.48
ONGC,238.5,0.21,0.42
TECHM,1592.1,0.14,0.26
ADANIENT,2994.9,0.15,0.2
SBILIFE,1782.0,0.09,0.16
BEL,409.4,0.05,0.15
MAXHEALTH,997.9,0.09,0.15
TITAN,5068.0,0.0,0.0
