symbol,ltp,changepct,contribution
HDFCBANK,1008.85,1.43,47.57
RELIANCE,1549.1,1.99,44.93
BAJFINANCE,1028.6,2.29,13.5
AXISBANK,1285.2,1.16,8.99
EICHERMOT,7125.5,3.32,6.87
BAJAJFINSV,2095.6,2.21,5.73
LT,4037.4,0.44,4.56
ITC,405.45,0.47,4.05
TECHM,1456.0,1.54,3.15
HINDALCO,799.8,1.12,2.9
JIOFIN,308.35,1.28,2.88
SHRIRAMFIN,826.6,1.05,2.64
HEROMOTOCO,5999.5,2.09,2.46
ULTRACEMCO,11753.0,0.75,2.34
BAJAJ-AUTO,8979.5,1.07,2.33
SBILIFE,2027.1,1.11,2.18
POWERGRID,277.2,0.75,2.02
TATACONSUM,1173.9,1.02,1.68
TRENT,4388.9,0.69,1.46
ADANIPORTS,1491.1,0.46,1.12
JSWSTEEL,1170.0,0.44,1.07
MARUTI,15801.0,0.21,0.96
ADANIENT,2446.1,0.53,0.76
ETERNAL,306.9,0.1,0.46
GRASIM,2748.6,0.14,0.33
COALINDIA,379.65,0.16,0.31
CIPLA,1529.2,0.16,0.3
HDFCLIFE,762.2,0.14,0.26
WIPRO,246.26,0.08,0.12
NESTLEIND,1279.2,0.02,0.04
NTPC,326.6,0.0,0.0
BEL,423.0,-0.05,-0.17
DRREDDY,1248.6,-0.13,-0.21
ICICIBANK,1383.0,-0.01,-0.22
TMPV,359.8,-0.29,-0.53
TCS,3144.8,-0.09,-0.63
APOLLOHOSP,7423.0,-0.48,-0.79
ONGC,248.05,-0.38,-0.82
BHARTIARTL,2158.3,-0.07,-0.88
SBIN,981.55,-0.12,-1.05
M&M,3716.7,-0.16,-1.16
TATASTEEL,172.46,-0.43,-1.39
SUNPHARMA,1777.4,-0.38,-1.53
INDUSINDBK,829.4,-1.21,-1.58
KOTAKBANK,2098.7,-0.34,-2.29
HINDUNILVR,2428.4,-0.54,-2.55
TITAN,3902.4,-0.78,-2.72
ASIANPAINT,2859.8,-1.17,-3.37
INFY,1536.5,-0.3,-3.68
HCLTECH,1645.4,-1.03,-3.86
