symbol,ltp,changepct,contribution
RELIANCE,1219.2,-2.31,-45.92
HDFCBANK,728.9,-1.13,-33.1
AXISBANK,1186.5,-4.56,-31.13
BAJFINANCE,982.0,-5.87,-30.46
BHARTIARTL,1795.8,-2.04,-22.58
LT,3858.4,-1.82,-16.62
SBIN,978.5,-1.57,-12.06
KOTAKBANK,405.0,-2.0,-11.85
M&M,2982.7,-1.72,-10.95
BAJAJFINSV,1762.3,-4.56,-10.41
HDFCLIFE,526.9,-6.16,-10.09
ETERNAL,335.5,-2.09,-8.44
ICICIBANK,1334.5,-0.41,-7.88
MARUTI,11990.0,-1.96,-7.87
INDIGO,4890.0,-2.75,-6.91
ASIANPAINT,2392.7,-2.54,-6.44
INFY,1014.5,-0.59,-6.37
ITC,268.0,-0.8,-6.07
TRENT,2700.0,-2.67,-4.99
HINDALCO,982.0,-2.17,-4.95
NESTLEIND,1351.0,-2.61,-4.63
SHRIRAMFIN,990.0,-2.06,-4.56
JIOFIN,227.2,-2.13,-4.22
TATASTEEL,188.02,-1.47,-4.17
JSWSTEEL,1273.2,-1.9,-4.08
ADANIENT,2900.0,-3.11,-3.94
HINDUNILVR,1933.5,-0.85,-3.53
HCLTECH,1243.6,-1.04,-3.43
POWERGRID,266.4,-1.41,-3.35
BAJAJ-AUTO,11208.0,-1.68,-3.22
EICHERMOT,7338.5,-1.76,-3.21
BEL,392.0,-1.02,-2.99
TITAN,4832.5,-0.97,-2.98
TMPV,295.0,-1.83,-2.95
APOLLOHOSP,8888.5,-1.99,-2.89
SUNPHARMA,1849.9,-0.81,-2.88
ADANIPORTS,1785.3,-1.22,-2.62
ULTRACEMCO,11056.0,-0.89,-2.44
MAXHEALTH,1046.0,-1.31,-2.08
TECHM,1543.0,-0.9,-1.62
GRASIM,3166.5,-0.69,-1.42
DRREDDY,1200.4,-0.89,-1.29
TATACONSUM,986.3,-0.8,-1.16
WIPRO,163.64,-0.76,-1.03
COALINDIA,422.0,-0.6,-1.01
TCS,2087.0,-0.12,-0.74
SBILIFE,1755.0,-0.28,-0.48
