symbol,ltp,changepct,contribution
INFY,1504.3,4.98,60.81
TCS,3049.4,1.01,8.04
HCLTECH,1427.1,1.72,6.46
TECHM,1498.2,2.57,5.56
ITC,410.05,0.61,5.46
DRREDDY,1291.3,3.25,5.33
ADANIPORTS,1380.9,2.42,4.93
WIPRO,249.15,2.73,4.21
KOTAKBANK,1960.4,0.53,3.89
BHARTIARTL,1893.7,0.32,3.61
HINDUNILVR,2642.0,0.69,3.24
SUNPHARMA,1591.7,0.68,3.03
MARUTI,15365.0,0.7,2.54
SBILIFE,1805.7,1.39,2.49
NESTLEIND,1202.2,1.22,2.37
BAJFINANCE,948.4,0.43,2.19
BAJAJFINSV,2025.3,0.84,2.01
HDFCLIFE,761.1,0.98,1.75
ICICIBANK,1403.7,0.07,1.59
EICHERMOT,6874.5,0.87,1.51
TATACONSUM,1083.5,0.87,1.49
CIPLA,1551.6,0.67,1.32
POWERGRID,283.85,0.37,1.17
HINDALCO,742.9,0.56,1.14
APOLLOHOSP,7825.5,0.5,0.8
ASIANPAINT,2537.3,0.26,0.65
JSWSTEEL,1104.5,0.28,0.62
TATASTEEL,169.15,0.2,0.52
COALINDIA,387.95,0.23,0.46
SBIN,808.85,0.01,0.07
ADANIENT,2311.6,0.03,0.04
BEL,371.95,0.01,0.03
HEROMOTOCO,5423.5,-0.36,-0.4
SHRIRAMFIN,595.0,-0.29,-0.56
GRASIM,2795.9,-0.29,-0.69
INDUSINDBK,746.15,-0.61,-0.76
M&M,3696.3,-0.14,-0.82
BAJAJ-AUTO,9383.0,-0.54,-1.09
ONGC,231.33,-0.52,-1.11
LT,3525.0,-0.13,-1.15
TATAMOTORS,715.55,-0.55,-1.67
JIOFIN,307.95,-1.01,-1.93
ULTRACEMCO,12572.0,-0.73,-2.23
AXISBANK,1052.2,-0.31,-2.37
TITAN,3630.1,-0.76,-2.4
HDFCBANK,965.15,-0.09,-2.98
NTPC,324.1,-0.8,-3.04
RELIANCE,1376.2,-0.17,-3.66
ETERNAL,325.7,-1.2,-4.39
TRENT,5218.5,-1.82,-4.71
