symbol,ltp,changepct,contribution
ETERNAL,279.7,5.71,23.99
RELIANCE,1308.0,1.09,22.56
SBIN,1047.4,2.0,15.99
M&M,3130.0,1.99,13.18
HINDUNILVR,2182.0,3.01,13.01
KOTAKBANK,400.45,2.09,12.89
AXISBANK,1368.7,1.71,12.15
BHARTIARTL,1871.0,1.03,11.87
ITC,290.3,1.17,9.24
MARUTI,14395.0,1.98,8.27
ASIANPAINT,2716.4,3.06,8.08
ICICIBANK,1379.8,0.33,6.6
NESTLEIND,1453.8,3.46,6.4
BAJFINANCE,1014.9,1.01,5.46
ULTRACEMCO,11456.0,1.8,5.14
ADANIPORTS,1848.2,2.1,4.69
ADANIENT,3143.6,3.54,4.67
BEL,416.25,1.08,3.29
JIOFIN,240.01,1.51,3.12
GRASIM,3140.4,1.3,2.78
BAJAJ-AUTO,9842.0,1.3,2.59
SBILIFE,1790.9,1.43,2.57
BAJAJFINSV,1797.6,0.98,2.33
TATACONSUM,1090.9,1.42,2.15
EICHERMOT,7139.0,0.93,1.76
MAXHEALTH,1139.9,0.94,1.56
INDIGO,5399.0,0.57,1.49
SHRIRAMFIN,1048.1,0.57,1.31
NTPC,357.9,0.35,1.1
POWERGRID,287.55,0.44,1.09
SUNPHARMA,1866.2,0.2,0.74
TRENT,3290.3,0.23,0.45
ONGC,234.99,0.04,0.08
