symbol,ltp,changepct,contribution
HINDALCO,985.65,3.56,8.38
TCS,2589.0,1.16,7.36
BEL,439.75,1.54,4.65
NTPC,378.65,1.2,3.74
BAJAJ-AUTO,9517.0,1.61,3.18
JSWSTEEL,1209.7,1.29,2.85
POWERGRID,298.1,1.1,2.69
DRREDDY,1211.9,1.72,2.58
MAXHEALTH,954.95,1.47,2.41
NESTLEIND,1228.7,1.24,2.27
ONGC,288.6,1.09,2.13
COALINDIA,454.1,1.08,1.87
APOLLOHOSP,7481.5,1.08,1.62
TATASTEEL,205.2,0.5,1.46
ITC,303.0,0.18,1.41
TATACONSUM,1078.0,0.89,1.33
TECHM,1461.6,0.7,1.3
CIPLA,1224.4,0.7,1.2
HCLTECH,1464.9,0.27,0.92
SUNPHARMA,1717.1,0.15,0.55
EICHERMOT,7147.5,0.23,0.43
