symbol,ltp,changepct,contribution
BHARTIARTL,2001.2,-4.47,-51.73
RELIANCE,1478.0,-1.21,-26.68
HDFCBANK,982.3,-0.24,-8.14
ITC,404.05,-0.85,-7.8
TCS,2991.8,-0.63,-5.14
HINDUNILVR,2414.0,-0.9,-4.34
TECHM,1386.7,-1.9,-4.21
AXISBANK,1222.8,-0.46,-3.61
SBIN,955.85,-0.51,-3.58
HCLTECH,1512.4,-0.92,-3.54
TATACONSUM,1167.2,-1.95,-3.43
TRENT,4627.3,-1.11,-2.94
APOLLOHOSP,7642.0,-1.8,-2.94
WIPRO,236.49,-1.48,-2.34
TMPV,405.7,-0.53,-1.65
ULTRACEMCO,11849.0,-0.51,-1.6
NTPC,326.1,-0.17,-0.66
HEROMOTOCO,5296.0,-0.56,-0.64
NESTLEIND,1262.7,-0.27,-0.54
TITAN,3769.3,-0.14,-0.45
