symbol,ltp,changepct,contribution
LT,3439.0,-8.16,-74.81
HDFCBANK,817.0,-1.93,-56.75
SBIN,1047.0,-3.65,-28.14
M&M,2931.1,-3.42,-21.85
AXISBANK,1197.3,-3.11,-21.31
ICICIBANK,1254.8,-0.93,-17.93
RELIANCE,1380.7,-0.83,-16.56
TATASTEEL,183.51,-5.43,-15.46
INFY,1248.3,-1.4,-15.17
HINDALCO,910.05,-6.56,-15.04
KOTAKBANK,366.85,-2.3,-13.68
MARUTI,12591.0,-3.34,-13.45
ULTRACEMCO,10616.0,-4.46,-12.29
ETERNAL,215.68,-2.55,-10.33
JSWSTEEL,1119.3,-4.76,-10.25
BEL,439.4,-3.22,-9.47
GRASIM,2568.6,-4.07,-8.39
HCLTECH,1325.4,-2.47,-8.18
TCS,2410.5,-1.32,-8.16
ITC,301.45,-0.88,-6.7
EICHERMOT,6741.0,-3.48,-6.36
SHRIRAMFIN,1003.6,-2.8,-6.22
BAJAJ-AUTO,8875.0,-3.23,-6.21
JIOFIN,235.25,-2.95,-5.87
INDIGO,4158.2,-2.25,-5.68
TMPV,314.1,-3.33,-5.4
HDFCLIFE,625.75,-3.19,-5.24
MAXHEALTH,990.0,-3.07,-4.9
BAJFINANCE,855.05,-0.94,-4.9
NTPC,384.45,-1.59,-4.82
SUNPHARMA,1801.6,-1.32,-4.71
ONGC,264.1,-2.44,-4.63
ADANIPORTS,1363.2,-2.08,-4.48
BAJAJFINSV,1738.0,-1.89,-4.33
TITAN,4073.2,-1.38,-4.25
WIPRO,197.58,-2.5,-3.41
SBILIFE,1904.4,-1.84,-3.19
DRREDDY,1292.3,-2.07,-3.02
ASIANPAINT,2196.8,-1.11,-2.83
NESTLEIND,1202.2,-1.55,-2.76
ADANIENT,1961.1,-2.09,-2.66
TRENT,3487.8,-1.31,-2.46
TECHM,1332.8,-1.28,-2.31
POWERGRID,300.95,-0.88,-2.1
CIPLA,1314.7,-0.73,-1.22
COALINDIA,467.0,-0.66,-1.12
APOLLOHOSP,7550.0,-0.32,-0.47
