symbol,ltp,changepct,contribution
RELIANCE,1322.0,1.48,30.49
HDFCBANK,712.1,0.77,23.37
TATASTEEL,188.79,2.43,7.14
SBILIFE,1775.0,3.38,6.06
BAJFINANCE,1060.5,1.08,5.81
KOTAKBANK,424.5,0.79,4.85
M&M,3170.0,0.63,4.16
HDFCLIFE,546.4,2.36,4.0
ULTRACEMCO,11408.0,1.17,3.33
AXISBANK,1273.0,0.47,3.32
ITC,264.1,0.42,3.3
JSWSTEEL,1325.0,1.28,2.84
TRENT,2853.0,1.31,2.54
HINDUNILVR,1973.4,0.58,2.49
JIOFIN,239.5,0.86,1.77
ADANIENT,2938.0,1.26,1.66
NTPC,332.5,0.48,1.5
GRASIM,3322.0,0.36,0.77
WIPRO,176.4,0.39,0.55
POWERGRID,266.0,0.15,0.37
HINDALCO,1011.0,0.1,0.24
ADANIPORTS,1707.3,0.05,0.11
BAJAJ-AUTO,11919.0,-0.01,-0.02
TECHM,1596.9,-0.07,-0.13
INDIGO,4977.0,-0.06,-0.16
TMPV,311.5,-0.16,-0.27
INFY,1130.0,-0.03,-0.34
TITAN,5020.0,-0.14,-0.44
DRREDDY,1151.0,-0.35,-0.53
SHRIRAMFIN,1041.0,-0.31,-0.71
NESTLEIND,1410.5,-0.39,-0.72
APOLLOHOSP,8650.0,-0.49,-0.74
ONGC,234.65,-0.58,-1.14
CIPLA,1385.0,-0.7,-1.2
TATACONSUM,1010.0,-0.91,-1.37
EICHERMOT,7630.5,-0.78,-1.47
ASIANPAINT,2527.3,-0.57,-1.5
MAXHEALTH,984.8,-1.03,-1.7
COALINDIA,415.35,-1.13,-1.97
BEL,405.35,-0.8,-2.43
LT,3964.1,-0.27,-2.56
BAJAJFINSV,1970.0,-1.12,-2.65
ETERNAL,322.75,-0.64,-2.68
SUNPHARMA,1899.0,-0.9,-3.31
TCS,2304.0,-0.7,-4.47
MARUTI,12694.0,-1.28,-5.32
SBIN,1016.1,-0.72,-5.73
HCLTECH,1293.4,-1.98,-6.77
ICICIBANK,1423.2,-0.48,-9.56
BHARTIARTL,1840.0,-1.58,-18.12
