symbol,ltp,changepct,contribution
HINDALCO,884.45,2.01,4.44
COALINDIA,450.45,1.2,1.96
ONGC,284.65,0.95,1.74
POWERGRID,296.1,0.2,0.46
TECHM,1384.0,-0.55,-0.96
JSWSTEEL,1122.5,-0.69,-1.43
TATASTEEL,191.86,-0.71,-1.95
MAXHEALTH,962.3,-1.33,-2.05
TITAN,3951.4,-0.76,-2.26
CIPLA,1224.2,-1.48,-2.38
APOLLOHOSP,7419.0,-1.75,-2.46
BAJAJ-AUTO,8781.5,-1.36,-2.52
MARUTI,12306.0,-0.67,-2.6
NESTLEIND,1174.8,-1.57,-2.7
WIPRO,187.64,-2.11,-2.78
BEL,400.65,-1.02,-2.89
DRREDDY,1254.9,-2.14,-3.01
TMPV,296.2,-2.36,-3.69
HINDUNILVR,2055.2,-0.93,-3.74
NTPC,370.65,-1.35,-3.95
ADANIPORTS,1312.6,-1.92,-3.99
ADANIENT,1758.8,-3.65,-4.48
TATACONSUM,1014.8,-3.32,-4.67
ASIANPAINT,2165.2,-1.95,-4.79
HDFCLIFE,590.6,-3.32,-5.26
HCLTECH,1341.6,-1.7,-5.43
GRASIM,2557.7,-2.76,-5.49
SBILIFE,1777.3,-3.39,-5.68
TRENT,3295.8,-3.15,-5.7
RELIANCE,1343.9,-0.31,-5.97
EICHERMOT,6586.0,-3.42,-6.03
SUNPHARMA,1757.2,-2.07,-7.12
ETERNAL,228.98,-1.83,-7.15
JIOFIN,224.1,-3.77,-7.24
ULTRACEMCO,10745.0,-2.83,-7.52
SHRIRAMFIN,872.1,-3.63,-7.78
TCS,2358.9,-1.31,-7.81
BAJAJFINSV,1631.8,-3.85,-8.51
INDIGO,3943.5,-3.96,-9.64
LT,3504.1,-1.71,-15.12
INFY,1250.6,-1.53,-15.99
ITC,287.7,-2.43,-17.85
M&M,2954.7,-2.93,-18.06
KOTAKBANK,353.4,-3.61,-20.72
AXISBANK,1161.3,-3.78,-24.99
BAJFINANCE,801.55,-5.27,-26.48
SBIN,979.4,-4.09,-30.41
BHARTIARTL,1782.4,-3.45,-36.98
ICICIBANK,1205.9,-2.31,-42.97
HDFCBANK,731.55,-3.37,-95.58
