symbol,ltp,changepct,contribution
AXISBANK,1298.8,2.83,21.5
TATASTEEL,189.25,3.53,11.14
NTPC,349.1,3.21,10.79
RELIANCE,1458.8,0.41,9.07
ETERNAL,299.25,1.57,7.05
ULTRACEMCO,12255.0,1.72,5.25
HINDALCO,955.35,1.99,5.06
ONGC,248.23,1.79,3.77
BEL,417.6,0.93,3.03
JIOFIN,287.0,0.84,1.85
GRASIM,2795.8,0.77,1.76
COALINDIA,432.2,0.76,1.42
MAXHEALTH,1033.6,0.52,0.92
HCLTECH,1668.5,0.21,0.77
JSWSTEEL,1181.8,0.31,0.74
INFY,1599.8,0.05,0.6
BAJAJ-AUTO,9579.5,0.27,0.58
TRENT,3932.2,0.26,0.54
SHRIRAMFIN,981.1,0.21,0.52
ADANIPORTS,1430.0,0.1,0.24
ITC,334.75,0.01,0.08
TMPV,349.8,0.01,0.02
