symbol,ltp,changepct,contribution
AXISBANK,1342.1,-1.53,-10.99
SBIN,1040.0,-1.12,-9.05
M&M,3136.9,-1.23,-8.24
LT,4026.6,-0.81,-7.79
KOTAKBANK,396.75,-0.64,-3.99
HINDUNILVR,2201.2,-0.43,-1.88
NTPC,356.45,-0.5,-1.59
TECHM,1410.1,-0.79,-1.5
BAJAJ-AUTO,9785.5,-0.73,-1.47
TITAN,4461.1,-0.45,-1.45
HDFCLIFE,567.7,-0.64,-1.1
ADANIPORTS,1874.2,-0.48,-1.08
TMPV,344.1,-0.54,-0.92
INDIGO,5426.5,-0.32,-0.85
SHRIRAMFIN,1063.6,-0.29,-0.68
ASIANPAINT,2737.8,-0.24,-0.64
JIOFIN,239.35,-0.16,-0.33
POWERGRID,287.85,-0.12,-0.3
COALINDIA,438.7,-0.05,-0.09
