symbol,ltp,changepct,contribution
BHARTIARTL,1910.4,1.85,21.55
HDFCBANK,801.05,0.64,19.73
HCLTECH,1139.0,5.35,18.57
ICICIBANK,1411.4,0.81,16.38
TCS,2093.5,1.21,7.84
BAJFINANCE,1031.4,1.26,6.88
INFY,1047.2,0.6,6.82
SUNPHARMA,1904.8,1.77,6.62
BAJAJFINSV,1895.6,2.1,5.05
ULTRACEMCO,11723.0,1.6,4.62
MAXHEALTH,1153.4,2.25,3.77
APOLLOHOSP,8893.5,2.22,3.39
TATASTEEL,189.8,1.12,3.34
DRREDDY,1374.1,2.07,3.17
ETERNAL,281.65,0.69,2.93
EICHERMOT,7339.5,1.22,2.34
BEL,418.05,0.72,2.22
NESTLEIND,1459.8,0.93,1.74
WIPRO,176.08,1.18,1.69
ONGC,237.84,0.79,1.57
ADANIENT,3212.1,1.08,1.44
TRENT,3340.6,0.68,1.34
TATACONSUM,1116.7,0.85,1.3
JSWSTEEL,1230.2,0.52,1.17
HINDALCO,953.2,0.42,1.01
RELIANCE,1304.0,0.04,0.84
GRASIM,3180.9,0.37,0.8
MARUTI,14366.0,0.13,0.55
SBILIFE,1788.7,0.24,0.44
CIPLA,1458.2,0.15,0.26
ITC,289.95,0.02,0.16
