symbol,ltp,changepct,contribution
HDFCBANK,809.9,1.91,58.78
RELIANCE,1344.1,2.21,46.16
LT,4076.3,3.09,29.65
INFY,1305.3,2.23,25.29
TCS,2554.9,3.33,21.54
ETERNAL,246.67,4.42,18.74
KOTAKBANK,382.4,2.82,17.56
INDIGO,4638.0,4.76,12.57
POWERGRID,312.45,4.03,10.06
SUNPHARMA,1696.6,2.69,10.04
ITC,302.05,1.14,9.09
BAJFINANCE,913.15,1.58,8.61
HINDALCO,1011.45,3.39,8.13
ASIANPAINT,2423.1,3.01,8.02
M&M,3256.5,1.13,7.56
ADANIPORTS,1511.8,3.17,7.14
ULTRACEMCO,11785.0,2.46,7.09
MARUTI,13289.0,1.63,6.87
MAXHEALTH,990.05,4.03,6.74
TECHM,1483.8,3.37,6.37
HINDUNILVR,2157.6,1.43,6.24
TMPV,357.9,3.59,6.09
SBIN,1071.5,0.75,6.05
TITAN,4522.2,1.87,6.03
HDFCLIFE,640.45,3.45,5.94
SBILIFE,1971.0,2.96,5.38
HCLTECH,1451.3,1.53,5.3
NTPC,392.6,1.64,5.21
TRENT,3978.2,2.65,5.2
BAJAJFINSV,1825.8,2.1,5.04
WIPRO,209.75,3.34,4.78
NESTLEIND,1256.6,2.49,4.65
JIOFIN,242.66,2.1,4.38
BEL,447.65,1.38,4.25
SHRIRAMFIN,1020.95,1.68,3.91
TATASTEEL,208.72,1.13,3.37
JSWSTEEL,1218.6,1.2,2.7
APOLLOHOSP,7642.0,1.67,2.55
CIPLA,1227.0,1.31,2.29
GRASIM,2741.4,1.05,2.26
EICHERMOT,7128.0,1.11,2.12
BAJAJ-AUTO,9865.0,0.5,1.01
AXISBANK,1355.5,0.14,1.0
ADANIENT,2144.4,0.72,0.96
TATACONSUM,1094.2,0.36,0.55
COALINDIA,435.8,0.16,0.28
ONGC,287.6,0.02,0.04
