symbol,ltp,changepct,contribution
BHARTIARTL,1896.7,1.53,17.29
LT,3733.1,1.68,14.89
AXISBANK,1181.0,1.82,13.95
KOTAKBANK,2100.5,1.77,13.0
POWERGRID,289.7,3.12,9.86
TATASTEEL,173.21,3.29,8.6
TITAN,3453.3,1.3,4.11
BEL,412.65,1.49,3.78
HINDALCO,780.35,1.85,3.78
JSWSTEEL,1161.7,1.34,2.97
SBIN,867.3,0.37,2.53
HEROMOTOCO,5550.5,2.13,2.39
ASIANPAINT,2357.8,0.93,2.32
NTPC,342.0,0.51,1.94
HINDUNILVR,2544.9,0.34,1.6
BAJAJ-AUTO,8679.5,0.61,1.23
HCLTECH,1393.5,0.29,1.09
BAJFINANCE,989.75,0.21,1.07
JIOFIN,301.7,0.55,1.05
INFY,1446.6,0.06,0.73
INDUSINDBK,747.4,0.57,0.71
CIPLA,1517.7,0.31,0.61
NESTLEIND,1169.9,0.3,0.58
ONGC,243.66,0.25,0.54
DRREDDY,1248.1,0.27,0.44
APOLLOHOSP,7449.5,0.11,0.18
GRASIM,2791.4,0.06,0.14
WIPRO,240.98,-0.04,-0.06
ADANIENT,2589.9,-0.11,-0.15
M&M,3462.0,-0.04,-0.24
HDFCBANK,965.15,-0.01,-0.33
ADANIPORTS,1419.1,-0.25,-0.51
ETERNAL,328.45,-0.17,-0.62
BAJAJFINSV,2000.9,-0.3,-0.72
SHRIRAMFIN,645.8,-0.45,-0.87
TRENT,4815.7,-0.34,-0.88
TATAMOTORS,716.1,-0.31,-0.94
TATACONSUM,1137.5,-0.64,-1.1
HDFCLIFE,759.2,-0.63,-1.13
SUNPHARMA,1631.2,-0.31,-1.38
SBILIFE,1785.1,-0.9,-1.61
ULTRACEMCO,12019.0,-0.63,-1.93
EICHERMOT,6941.0,-1.16,-2.02
TECHM,1400.6,-1.1,-2.38
COALINDIA,383.35,-1.34,-2.67
ITC,404.3,-0.32,-2.87
TCS,2901.9,-0.42,-3.35
MARUTI,15806.0,-1.01,-3.67
RELIANCE,1363.4,-0.39,-8.4
ICICIBANK,1365.2,-0.5,-11.39
