symbol,ltp,changepct,contribution
COALINDIA,417.85,4.05,7.07
RELIANCE,1313.1,0.31,6.39
ADANIPORTS,1672.7,1.53,3.4
NTPC,330.0,0.76,2.38
BAJAJFINSV,1990.0,0.91,2.15
POWERGRID,266.8,0.85,2.09
TITAN,5074.0,0.48,1.53
TMPV,312.75,0.89,1.49
ADANIENT,2891.8,0.97,1.28
BAJFINANCE,1055.9,0.19,1.02
JIOFIN,236.9,0.45,0.93
ONGC,237.5,0.44,0.86
SUNPHARMA,1931.7,0.14,0.52
LT,3981.0,0.02,0.19
TRENT,2852.3,-0.09,-0.17
ULTRACEMCO,11393.0,-0.06,-0.17
TATASTEEL,183.85,-0.12,-0.35
ETERNAL,327.3,-0.14,-0.59
APOLLOHOSP,8719.0,-0.41,-0.62
GRASIM,3294.9,-0.31,-0.66
ITC,266.3,-0.11,-0.87
HINDALCO,1009.7,-0.46,-1.09
CIPLA,1412.8,-0.72,-1.24
JSWSTEEL,1306.0,-0.57,-1.27
MAXHEALTH,994.0,-0.9,-1.49
INDIGO,5020.0,-0.63,-1.64
NESTLEIND,1425.0,-0.92,-1.69
TECHM,1623.0,-0.92,-1.72
DRREDDY,1156.5,-1.24,-1.87
SBILIFE,1719.9,-1.12,-2.01
KOTAKBANK,423.5,-0.35,-2.15
HDFCLIFE,533.0,-1.35,-2.29
AXISBANK,1253.9,-0.33,-2.34
SHRIRAMFIN,1047.0,-1.14,-2.62
TATACONSUM,1012.0,-1.8,-2.71
MARUTI,12849.0,-0.78,-3.25
WIPRO,177.09,-2.54,-3.58
BAJAJ-AUTO,12130.0,-1.87,-3.71
BEL,405.75,-1.33,-4.04
HINDUNILVR,1975.0,-0.99,-4.26
ASIANPAINT,2527.5,-1.86,-4.89
HCLTECH,1331.5,-1.47,-5.03
TCS,2348.0,-0.89,-5.68
EICHERMOT,7711.5,-3.24,-6.12
BHARTIARTL,1862.8,-0.77,-8.84
SBIN,1020.9,-1.31,-10.43
M&M,3190.0,-2.12,-13.99
INFY,1140.0,-1.38,-15.44
ICICIBANK,1426.5,-0.8,-15.94
HDFCBANK,700.8,-1.56,-47.38
