symbol,ltp,changepct,contribution
HINDUNILVR,2692.6,2.27,10.6
ITC,403.35,0.99,8.81
MARUTI,14714.0,1.78,6.42
EICHERMOT,6151.0,2.61,4.51
TCS,3157.2,0.53,4.19
NESTLEIND,1162.2,0.79,1.52
HEROMOTOCO,5073.4,0.19,0.21
ULTRACEMCO,12610.0,0.03,0.09
TATACONSUM,1079.9,-0.16,-0.27
WIPRO,252.03,-0.72,-1.1
ASIANPAINT,2481.4,-0.46,-1.14
APOLLOHOSP,7793.5,-0.74,-1.17
GRASIM,2796.2,-0.54,-1.27
BAJAJ-AUTO,8691.5,-0.68,-1.36
ETERNAL,317.9,-0.42,-1.53
ADANIENT,2272.0,-1.36,-1.81
INFY,1529.6,-0.16,-1.94
JSWSTEEL,1047.1,-1.02,-2.24
TATAMOTORS,681.65,-0.76,-2.29
ONGC,234.19,-1.1,-2.34
INDUSINDBK,756.4,-1.91,-2.36
HDFCLIFE,776.6,-1.34,-2.38
JIOFIN,315.75,-1.25,-2.38
CIPLA,1579.8,-1.35,-2.64
DRREDDY,1263.2,-1.64,-2.67
HCLTECH,1492.8,-0.76,-2.84
HINDALCO,705.7,-1.44,-2.92
SBILIFE,1816.6,-1.66,-2.95
TECHM,1502.2,-1.66,-3.57
ADANIPORTS,1315.4,-1.9,-3.85
COALINDIA,372.45,-2.03,-4.01
BEL,365.85,-1.69,-4.26
POWERGRID,279.9,-1.52,-4.77
BAJAJFINSV,1924.2,-2.06,-4.89
TITAN,3594.0,-1.6,-5.02
NTPC,333.2,-1.4,-5.29
TRENT,5295.0,-2.42,-6.22
KOTAKBANK,1965.7,-0.9,-6.56
SBIN,807.85,-1.06,-7.2
TATASTEEL,155.03,-2.97,-7.71
SHRIRAMFIN,594.7,-4.4,-8.48
M&M,3330.8,-2.04,-11.9
BAJFINANCE,876.25,-2.8,-14.18
AXISBANK,1050.1,-1.9,-14.46
BHARTIARTL,1904.7,-1.37,-15.37
LT,3541.3,-1.75,-15.4
SUNPHARMA,1600.3,-3.52,-15.57
ICICIBANK,1416.6,-1.17,-26.46
RELIANCE,1384.9,-2.0,-42.75
HDFCBANK,973.4,-101.78,-3345.21
