symbol,ltp,changepct,contribution
M&M,3384.4,-1.88,-13.19
TCS,3144.4,-1.74,-11.81
MARUTI,14502.0,-2.52,-11.15
ASIANPAINT,2416.0,-3.81,-10.65
RELIANCE,1391.0,-0.41,-8.98
INDIGO,4621.0,-2.7,-7.48
ITC,318.6,-0.79,-6.61
BEL,444.5,-1.88,-6.07
SBILIFE,1996.3,-2.77,-5.28
SUNPHARMA,1589.3,-1.32,-5.17
INFY,1659.5,-0.42,-5.0
HINDUNILVR,2352.6,-1.08,-4.94
TATACONSUM,1107.2,-2.17,-3.48
TITAN,3939.7,-0.89,-3.01
TRENT,3823.8,-1.04,-2.14
DRREDDY,1208.9,-1.11,-1.78
APOLLOHOSP,6801.0,-1.11,-1.78
HCLTECH,1721.6,-0.46,-1.67
ULTRACEMCO,12717.0,-0.39,-1.18
MAXHEALTH,952.6,-0.63,-1.1
CIPLA,1320.9,-0.56,-1.02
NESTLEIND,1287.9,-0.35,-0.69
JIOFIN,254.5,-0.27,-0.59
GRASIM,2831.7,-0.26,-0.59
EICHERMOT,7056.5,-0.21,-0.42
HDFCLIFE,727.1,-0.21,-0.38
