symbol,ltp,changepct,contribution
BHARTIARTL,2083.4,1.47,18.38
LT,4074.1,1.75,18.05
RELIANCE,1556.5,0.74,16.61
ETERNAL,298.05,2.44,11.12
TATASTEEL,171.89,3.31,10.6
ICICIBANK,1366.0,0.44,9.55
HINDALCO,852.1,3.37,8.69
AXISBANK,1286.1,1.05,8.1
MARUTI,16522.0,1.69,7.66
ULTRACEMCO,11723.0,2.19,6.79
BAJFINANCE,1017.3,1.08,6.33
TCS,3220.5,0.9,6.26
JSWSTEEL,1125.5,1.82,4.41
HDFCBANK,1001.5,0.12,3.97
NESTLEIND,1238.3,1.92,3.85
GRASIM,2836.7,1.39,3.22
TITAN,3880.2,0.92,3.19
ADANIPORTS,1522.8,1.25,3.03
M&M,3679.6,0.39,2.8
NTPC,325.05,0.76,2.59
INDIGO,4860.5,0.86,2.44
BAJAJFINSV,2083.1,0.84,2.17
APOLLOHOSP,7101.0,1.31,2.15
SBILIFE,2025.9,0.95,1.86
JIOFIN,300.75,0.77,1.72
BEL,389.45,0.5,1.65
TRENT,4075.4,0.69,1.46
TECHM,1578.4,0.65,1.32
TATACONSUM,1149.3,0.63,1.03
WIPRO,260.6,0.52,0.8
DRREDDY,1279.3,0.46,0.75
CIPLA,1517.4,0.34,0.64
HDFCLIFE,777.5,0.3,0.55
TMPV,347.45,0.23,0.42
ADANIENT,2282.4,0.21,0.3
SHRIRAMFIN,848.0,0.1,0.25
HCLTECH,1673.2,0.05,0.19
INFY,1598.2,0.01,0.12
SBIN,963.15,-0.01,-0.09
COALINDIA,383.35,-0.17,-0.32
ONGC,238.02,-0.16,-0.34
EICHERMOT,7229.0,-0.37,-0.76
BAJAJ-AUTO,9015.0,-0.43,-0.93
MAXHEALTH,1081.3,-0.61,-1.1
KOTAKBANK,2176.6,-0.17,-1.14
POWERGRID,263.6,-0.45,-1.21
ASIANPAINT,2764.8,-0.53,-1.52
SUNPHARMA,1793.5,-0.76,-3.05
ITC,400.1,-0.69,-5.91
HINDUNILVR,2260.6,-1.95,-9.14
