symbol,ltp,changepct,contribution
M&M,3701.4,3.93,22.98
TATAMOTORS,719.5,4.02,12.15
HDFCBANK,966.0,0.27,8.9
MARUTI,15258.0,2.44,8.83
BAJAJ-AUTO,9433.5,3.84,7.71
EICHERMOT,6815.0,3.56,6.17
JSWSTEEL,1101.4,2.64,5.82
RELIANCE,1378.5,0.25,5.36
ADANIPORTS,1348.3,2.0,4.06
BAJFINANCE,944.3,0.71,3.61
SBIN,808.8,0.27,1.84
TATASTEEL,168.82,0.68,1.77
KOTAKBANK,1950.1,0.24,1.75
ADANIENT,2310.9,1.29,1.73
HEROMOTOCO,5443.0,1.49,1.66
ULTRACEMCO,12664.0,0.5,1.52
SHRIRAMFIN,596.75,0.72,1.39
JIOFIN,311.1,0.55,1.05
BEL,371.9,0.3,0.76
ETERNAL,329.65,0.15,0.55
ITC,407.55,0.05,0.45
TATACONSUM,1074.2,0.17,0.29
GRASIM,2804.1,0.0,0.0
