symbol,ltp,changepct,contribution
HDFCBANK,799.0,1.51,46.35
SBIN,1042.7,1.58,12.72
MAXHEALTH,1090.45,6.27,10.46
ICICIBANK,1342.3,0.41,8.25
INDIGO,5011.8,2.73,7.19
BEL,428.6,2.08,6.38
NTPC,361.95,1.8,5.7
AXISBANK,1360.1,0.68,4.86
TRENT,3179.7,2.48,4.85
HINDUNILVR,2218.5,0.95,4.13
HDFCLIFE,591.3,1.63,2.8
ADANIENT,3013.4,2.08,2.76
EICHERMOT,7601.0,1.23,2.35
TATASTEEL,200.52,0.76,2.26
POWERGRID,288.7,0.82,2.04
TMPV,364.65,1.03,1.74
ADANIPORTS,1842.1,0.74,1.66
ASIANPAINT,2755.0,0.62,1.65
ULTRACEMCO,11430.0,0.5,1.44
SBILIFE,1807.6,0.78,1.41
JSWSTEEL,1293.9,0.52,1.17
ITC,291.15,0.14,1.11
BAJAJFINSV,1771.7,0.4,0.96
JIOFIN,244.1,0.46,0.96
SUNPHARMA,1824.8,0.24,0.89
M&M,3136.5,0.11,0.73
BAJAJ-AUTO,10077.0,0.35,0.7
CIPLA,1355.5,0.35,0.61
TITAN,4387.9,0.17,0.55
BAJFINANCE,958.85,0.05,0.27
ETERNAL,258.55,0.06,0.25
ONGC,245.3,0.12,0.24
HINDALCO,1008.5,0.06,0.14
