symbol,ltp,changepct,contribution
RELIANCE,1406.8,0.59,12.97
BHARTIARTL,1929.6,0.85,10.4
BEL,449.05,2.22,7.19
SBIN,1209.5,0.78,6.62
ICICIBANK,1404.9,0.31,6.58
SUNPHARMA,1785.7,1.22,4.79
TCS,2647.7,0.7,4.77
EICHERMOT,8190.0,2.27,4.57
TMPV,391.55,2.54,4.53
MARUTI,15213.0,0.95,4.21
SHRIRAMFIN,1104.6,1.72,4.21
MAXHEALTH,1109.9,2.0,3.52
ADANIPORTS,1550.6,1.43,3.39
ONGC,280.1,0.96,2.01
CIPLA,1358.1,0.89,1.63
HINDUNILVR,2383.3,0.35,1.61
DRREDDY,1319.3,0.98,1.57
TITAN,4342.6,0.41,1.39
TATASTEEL,215.52,0.41,1.29
HINDALCO,941.3,0.42,1.06
JSWSTEEL,1280.6,0.44,1.04
SBILIFE,2082.8,0.44,0.84
BAJAJ-AUTO,10110.0,0.13,0.28
TECHM,1361.8,0.0,0.0
APOLLOHOSP,7775.0,-0.1,-0.16
HDFCLIFE,734.0,-0.17,-0.31
KOTAKBANK,424.55,-0.09,-0.59
WIPRO,201.08,-0.42,-0.63
JIOFIN,256.15,-0.31,-0.68
INDIGO,4933.5,-0.28,-0.78
NESTLEIND,1318.0,-0.41,-0.8
INFY,1289.1,-0.08,-0.95
ADANIENT,2216.4,-0.69,-0.97
BAJAJFINSV,2041.3,-0.39,-0.98
GRASIM,2863.5,-0.52,-1.18
HCLTECH,1373.5,-0.34,-1.24
M&M,3484.6,-0.19,-1.34
TATACONSUM,1159.5,-1.09,-1.75
COALINDIA,433.5,-1.16,-2.16
ULTRACEMCO,12937.0,-0.8,-2.43
ASIANPAINT,2394.9,-0.89,-2.5
NTPC,381.9,-0.78,-2.61
LT,4286.5,-0.28,-2.83
POWERGRID,303.25,-1.3,-3.41
TRENT,3856.0,-1.68,-3.47
ITC,318.3,-0.45,-3.77
AXISBANK,1395.5,-0.53,-4.0
BAJFINANCE,1012.95,-0.79,-4.53
ETERNAL,246.5,-1.48,-6.6
HDFCBANK,898.6,-0.99,-32.06
