symbol,ltp,changepct,contribution
HDFCBANK,984.0,-1.04,-34.1
ICICIBANK,1352.4,-1.0,-21.51
MAXHEALTH,1031.1,-3.9,-6.95
ITC,399.8,-0.47,-3.99
TRENT,4045.2,-1.55,-3.24
APOLLOHOSP,6921.5,-1.84,-2.99
KOTAKBANK,2173.2,-0.42,-2.79
BAJAJ-AUTO,8895.0,-1.25,-2.68
HDFCLIFE,753.5,-1.42,-2.6
SBILIFE,2010.2,-1.27,-2.46
ADANIPORTS,1486.3,-0.85,-2.04
BEL,385.6,-0.62,-2.03
TITAN,3907.9,-0.55,-1.89
BAJAJFINSV,2021.2,-0.69,-1.76
M&M,3612.8,-0.23,-1.64
JIOFIN,293.15,-0.71,-1.58
HINDUNILVR,2275.6,-0.24,-1.12
ADANIENT,2232.5,-0.69,-0.98
NESTLEIND,1234.6,-0.48,-0.95
JSWSTEEL,1079.3,-0.3,-0.72
DRREDDY,1272.0,-0.38,-0.62
ASIANPAINT,2785.7,-0.19,-0.54
CIPLA,1496.9,-0.18,-0.33
LT,4062.4,-0.03,-0.31
