symbol,ltp,changepct,contribution
HDFCBANK,735.6,0.91,26.74
AXISBANK,1222.4,2.94,20.14
M&M,3035.0,1.72,10.99
RELIANCE,1226.0,0.55,10.97
BAJFINANCE,996.9,1.49,7.76
ASIANPAINT,2444.0,2.1,5.35
LT,3876.2,0.46,4.22
HCLTECH,1258.0,1.14,3.77
SBIN,983.0,0.46,3.54
TITAN,4884.0,1.05,3.23
ITC,269.0,0.37,2.82
POWERGRID,269.5,1.15,2.74
INDIGO,4940.0,1.01,2.55
MARUTI,12065.0,0.62,2.5
ULTRACEMCO,11155.0,0.89,2.45
HINDUNILVR,1942.9,0.48,2.0
COALINDIA,426.1,0.96,1.62
GRASIM,3191.0,0.77,1.59
NESTLEIND,1362.6,0.85,1.51
HDFCLIFE,531.0,0.77,1.27
BAJAJ-AUTO,11281.0,0.65,1.25
BEL,393.55,0.39,1.15
BAJAJFINSV,1771.0,0.49,1.12
SHRIRAMFIN,994.1,0.41,0.91
ADANIENT,2916.5,0.57,0.73
JSWSTEEL,1277.0,0.3,0.65
TECHM,1548.0,0.32,0.58
EICHERMOT,7360.0,0.29,0.53
SUNPHARMA,1852.2,0.12,0.43
ADANIPORTS,1788.0,0.15,0.32
WIPRO,164.02,0.23,0.31
CIPLA,1399.7,0.05,0.08
DRREDDY,1201.0,0.05,0.07
APOLLOHOSP,8889.0,0.01,0.01
NTPC,326.6,0.0,0.0
TATASTEEL,187.97,-0.03,-0.09
JIOFIN,227.0,-0.09,-0.18
TATACONSUM,983.2,-0.32,-0.47
ETERNAL,335.0,-0.15,-0.61
HINDALCO,977.0,-0.51,-1.17
SBILIFE,1742.0,-0.75,-1.3
TCS,2082.0,-0.24,-1.48
KOTAKBANK,404.0,-0.25,-1.49
TRENT,2669.3,-1.15,-2.16
ONGC,235.86,-1.33,-2.52
TMPV,290.45,-1.57,-2.54
MAXHEALTH,1014.0,-3.16,-5.05
BHARTIARTL,1785.4,-0.58,-6.44
ICICIBANK,1326.8,-0.58,-11.18
INFY,1000.2,-1.43,-15.49
