symbol,ltp,changepct,contribution
INFY,1040.9,5.64,63.81
ICICIBANK,1400.0,1.46,29.4
TCS,2068.1,4.31,27.82
HCLTECH,1078.1,4.24,14.66
M&M,3175.4,1.45,9.68
TECHM,1421.3,4.34,8.18
BAJAJFINSV,1855.7,3.23,7.73
TITAN,4481.1,1.88,6.04
HINDUNILVR,2210.6,1.31,5.7
ADANIPORTS,1883.2,1.89,4.25
SHRIRAMFIN,1066.7,1.77,4.11
TATASTEEL,187.67,1.35,4.01
WIPRO,174.0,2.27,3.24
SBIN,1051.6,0.4,3.22
EICHERMOT,7250.0,1.55,2.96
ASIANPAINT,2744.5,1.03,2.74
BHARTIARTL,1875.0,0.21,2.44
HINDALCO,949.2,1.01,2.42
TATACONSUM,1107.2,1.49,2.27
INDIGO,5444.0,0.83,2.19
ULTRACEMCO,11536.0,0.7,2.01
GRASIM,3169.2,0.92,1.98
BAJFINANCE,1018.4,0.34,1.85
COALINDIA,438.9,0.95,1.68
TRENT,3317.8,0.84,1.64
ADANIENT,3177.5,1.08,1.44
JSWSTEEL,1223.8,0.62,1.39
APOLLOHOSP,8696.0,0.9,1.37
SUNPHARMA,1871.0,0.26,0.97
ONGC,235.96,0.41,0.81
DRREDDY,1345.7,0.43,0.65
POWERGRID,288.2,0.23,0.57
HDFCLIFE,571.35,0.25,0.43
NTPC,358.25,0.1,0.32
BAJAJ-AUTO,9857.0,0.15,0.3
ETERNAL,279.7,0.0,0.0
CIPLA,1456.0,-0.05,-0.09
JIOFIN,239.73,-0.12,-0.25
SBILIFE,1784.4,-0.36,-0.65
BEL,415.05,-0.29,-0.89
TMPV,345.95,-0.53,-0.9
HDFCBANK,795.9,-0.03,-0.92
NESTLEIND,1446.2,-0.52,-0.97
ITC,289.9,-0.14,-1.11
MARUTI,14348.0,-0.33,-1.39
KOTAKBANK,399.3,-0.29,-1.8
MAXHEALTH,1127.4,-1.1,-1.83
AXISBANK,1362.6,-0.45,-3.22
RELIANCE,1303.5,-0.34,-7.09
LT,4059.4,-0.81,-7.75
