symbol,ltp,changepct,contribution
HDFCBANK,731.0,2.52,74.72
BHARTIARTL,1893.3,3.12,34.96
BAJFINANCE,1040.3,2.49,13.08
LT,3885.0,1.27,11.74
ADANIPORTS,1824.0,4.93,10.7
AXISBANK,1257.0,1.37,9.47
ULTRACEMCO,11014.0,2.32,6.45
POWERGRID,270.3,2.48,5.96
SBIN,996.2,0.76,5.91
ETERNAL,326.85,1.4,5.72
ADANIENT,3020.0,3.31,4.25
INDIGO,4920.0,1.55,3.94
JSWSTEEL,1275.6,1.77,3.84
SHRIRAMFIN,1010.0,1.51,3.38
APOLLOHOSP,8944.5,2.01,2.96
GRASIM,3209.2,1.14,2.37
TRENT,2824.0,1.25,2.36
CIPLA,1394.5,1.32,2.22
MAXHEALTH,1049.3,1.19,1.92
HINDALCO,986.5,0.61,1.41
DRREDDY,1185.0,0.85,1.25
EICHERMOT,7516.0,0.3,0.55
JIOFIN,229.89,0.26,0.52
WIPRO,166.83,0.26,0.36
ONGC,232.8,0.16,0.31
NESTLEIND,1372.4,0.13,0.23
ASIANPAINT,2451.3,-0.11,-0.28
BAJAJFINSV,1852.5,-0.36,-0.83
BAJAJ-AUTO,11414.0,-0.75,-1.45
BEL,393.3,-0.54,-1.6
HDFCLIFE,550.95,-1.09,-1.81
HINDUNILVR,1932.0,-0.53,-2.23
HCLTECH,1249.3,-0.72,-2.4
TATACONSUM,996.0,-1.75,-2.57
TATASTEEL,185.54,-0.93,-2.67
TITAN,4798.5,-0.88,-2.73
TECHM,1537.1,-1.53,-2.79
COALINDIA,409.9,-1.94,-3.31
SBILIFE,1731.0,-2.03,-3.55
M&M,3052.0,-0.8,-5.15
NTPC,323.65,-1.81,-5.54
TMPV,303.8,-3.4,-5.56
KOTAKBANK,412.5,-0.96,-5.76
SUNPHARMA,1837.3,-1.61,-5.79
INFY,1051.4,-0.68,-7.43
MARUTI,12103.0,-1.9,-7.72
ITC,262.3,-1.47,-11.29
ICICIBANK,1338.9,-0.65,-12.64
TCS,2105.0,-3.88,-24.19
RELIANCE,1226.4,-1.41,-28.38
