symbol,ltp,changepct,contribution
LT,4140.4,1.39,14.39
INFY,1629.8,0.89,10.89
M&M,3761.0,1.4,10.1
ETERNAL,283.8,2.07,9.47
RELIANCE,1575.6,0.33,7.44
NTPC,336.3,2.05,7.02
SHRIRAMFIN,1019.7,2.36,5.92
KOTAKBANK,2217.8,0.76,5.11
BAJAJ-AUTO,9558.0,2.3,4.99
TCS,3227.4,0.66,4.61
TATASTEEL,181.89,1.01,3.25
ULTRACEMCO,11901.0,0.99,3.08
AXISBANK,1274.4,0.39,3.02
BHARTIARTL,2110.4,0.23,2.89
INDIGO,5110.5,1.01,2.88
HCLTECH,1634.5,0.69,2.58
HINDALCO,894.95,0.93,2.41
WIPRO,267.35,1.55,2.39
SBIN,984.75,0.26,2.26
POWERGRID,266.8,0.83,2.24
TECHM,1607.7,1.06,2.16
ADANIPORTS,1481.1,0.77,1.87
GRASIM,2851.7,0.8,1.86
APOLLOHOSP,7111.5,0.98,1.61
HINDUNILVR,2323.0,0.31,1.46
JSWSTEEL,1171.5,0.58,1.41
ADANIENT,2260.0,0.91,1.31
NESTLEIND,1295.0,0.54,1.09
EICHERMOT,7348.0,0.49,1.01
TRENT,4297.4,0.43,0.91
MAXHEALTH,1049.4,0.41,0.74
COALINDIA,400.45,0.36,0.69
JIOFIN,295.7,0.25,0.56
SBILIFE,2040.4,0.27,0.53
MARUTI,16708.0,0.07,0.32
SUNPHARMA,1721.1,0.08,0.32
TMPV,367.55,0.05,0.09
HDFCLIFE,750.1,0.03,0.06
