symbol,ltp,changepct,contribution
INFY,1689.8,5.63,67.7
HDFCBANK,931.1,0.61,19.91
SBIN,1042.3,1.36,11.64
TECHM,1670.5,5.16,10.34
HCLTECH,1698.0,1.77,6.5
WIPRO,267.45,2.79,4.23
SHRIRAMFIN,995.45,1.46,3.6
ULTRACEMCO,12378.0,1.0,3.06
TCS,3206.7,0.44,3.02
BAJFINANCE,950.25,0.45,2.6
TATACONSUM,1189.1,1.51,2.44
TMPV,353.6,1.09,1.96
M&M,3658.2,0.24,1.7
HINDUNILVR,2360.4,0.29,1.34
NESTLEIND,1315.9,0.67,1.33
SBILIFE,2081.0,0.59,1.14
GRASIM,2809.6,0.49,1.12
JSWSTEEL,1187.3,0.47,1.12
MAXHEALTH,1037.0,0.33,0.59
INDIGO,4740.0,0.15,0.42
ADANIENT,2157.3,0.19,0.27
BAJAJFINSV,2002.5,0.08,0.2
