symbol,ltp,changepct,contribution
ETERNAL,256.51,2.53,10.58
HINDALCO,1149.7,4.16,9.85
NTPC,398.15,2.17,6.8
TMPV,400.95,3.98,6.66
POWERGRID,300.15,2.6,6.4
TATASTEEL,214.7,2.01,5.91
INDIGO,4570.0,1.99,5.19
MARUTI,13364.0,1.18,4.91
BAJAJ-AUTO,10808.5,2.03,4.03
BHARTIARTL,1852.2,0.29,3.33
M&M,3121.6,0.46,3.04
JSWSTEEL,1309.3,1.21,2.69
SHRIRAMFIN,963.2,1.16,2.66
AXISBANK,1304.1,0.37,2.62
TITAN,4137.9,0.78,2.48
ASIANPAINT,2671.9,0.94,2.47
LT,4047.5,0.24,2.27
TCS,2284.2,0.35,2.23
TATACONSUM,1204.6,1.43,2.15
JIOFIN,242.89,0.92,1.89
COALINDIA,463.05,1.07,1.87
ADANIPORTS,1824.5,0.73,1.62
ULTRACEMCO,11689.0,0.57,1.62
BAJAJFINSV,1809.1,0.47,1.11
EICHERMOT,7419.0,0.58,1.1
HCLTECH,1165.2,0.28,0.96
SUNPHARMA,1844.3,0.19,0.7
BAJFINANCE,931.15,0.1,0.54
TRENT,4248.6,0.21,0.41
GRASIM,3170.0,0.16,0.34
APOLLOHOSP,8272.5,0.17,0.26
ADANIENT,2973.1,0.13,0.17
CIPLA,1418.2,0.05,0.09
KOTAKBANK,388.7,0.01,0.06
