symbol,ltp,changepct,contribution
RELIANCE,1302.5,-0.81,-16.67
ITC,263.0,-1.24,-9.74
INFY,1130.3,-0.85,-9.5
M&M,3150.0,-1.25,-8.24
TCS,2320.1,-1.19,-7.59
BAJFINANCE,1049.0,-0.65,-3.49
BAJAJ-AUTO,11920.0,-1.73,-3.43
KOTAKBANK,421.15,-0.55,-3.37
HCLTECH,1319.0,-0.94,-3.21
ETERNAL,324.8,-0.76,-3.18
SUNPHARMA,1916.0,-0.81,-2.98
ULTRACEMCO,11275.0,-1.04,-2.95
TITAN,5027.0,-0.93,-2.95
TECHM,1598.0,-1.54,-2.87
HINDUNILVR,1962.0,-0.66,-2.84
TRENT,2815.6,-1.29,-2.49
CIPLA,1394.7,-1.28,-2.2
INDIGO,4980.0,-0.8,-2.08
LT,3975.0,-0.15,-1.42
ONGC,236.0,-0.63,-1.23
NESTLEIND,1416.0,-0.63,-1.16
POWERGRID,265.6,-0.45,-1.11
WIPRO,175.72,-0.77,-1.08
SHRIRAMFIN,1044.2,-0.27,-0.62
EICHERMOT,7690.0,-0.28,-0.53
SBILIFE,1715.0,-0.28,-0.5
APOLLOHOSP,8692.0,-0.31,-0.47
TMPV,312.0,-0.24,-0.4
DRREDDY,1155.0,-0.13,-0.2
