symbol,ltp,changepct,contribution
INFY,1319.2,1.06,12.0
ETERNAL,252.7,2.44,10.33
LT,4119.8,1.07,10.25
HINDALCO,1039.9,2.81,6.73
ADANIPORTS,1549.8,2.51,5.65
TCS,2576.9,0.86,5.56
BEL,455.65,1.79,5.5
TRENT,4083.3,2.64,5.17
ADANIENT,2203.7,2.77,3.69
ITC,303.4,0.45,3.58
TATASTEEL,210.69,0.94,2.8
ASIANPAINT,2440.3,0.71,1.89
MARUTI,13335.0,0.35,1.47
TATACONSUM,1102.6,0.77,1.17
ULTRACEMCO,11826.0,0.35,1.01
TECHM,1491.0,0.49,0.92
BAJAJFINSV,1829.9,0.22,0.53
CIPLA,1230.5,0.29,0.51
DRREDDY,1221.4,0.3,0.46
SHRIRAMFIN,1022.75,0.18,0.42
SBILIFE,1974.7,0.19,0.34
WIPRO,210.26,0.24,0.34
NESTLEIND,1257.4,0.06,0.11
MAXHEALTH,990.65,0.06,0.1
EICHERMOT,7131.0,0.04,0.08
