symbol,ltp,changepct,contribution
ICICIBANK,1392.2,1.25,27.3
HDFCBANK,1009.5,0.56,18.64
BAJFINANCE,1033.8,2.29,13.51
INFY,1566.4,0.55,6.75
HINDUNILVR,2451.7,1.09,5.14
LT,4081.3,0.48,4.98
ITC,404.3,0.5,4.31
SHRIRAMFIN,867.65,1.29,3.25
HCLTECH,1629.0,0.69,2.59
BAJAJFINSV,2103.2,0.87,2.26
HINDALCO,807.55,0.84,2.18
KOTAKBANK,2110.2,0.3,2.02
JSWSTEEL,1160.6,0.54,1.32
NTPC,327.35,0.38,1.31
SUNPHARMA,1810.3,0.3,1.21
ASIANPAINT,2879.1,0.18,0.52
TITAN,3903.3,0.14,0.49
ADANIPORTS,1509.1,0.19,0.46
COALINDIA,378.05,0.19,0.36
INDIGO,5919.0,0.1,0.29
CIPLA,1525.2,0.09,0.17
DRREDDY,1249.3,0.1,0.17
