symbol,ltp,changepct,contribution
ICICIBANK,1421.0,-2.5,-51.17
BAJFINANCE,1078.0,-5.84,-32.29
HDFCBANK,731.0,-0.45,-14.04
AXISBANK,1238.0,-1.43,-10.4
BAJAJFINSV,2008.9,-3.7,-9.0
TRENT,2997.0,-3.54,-7.05
SHRIRAMFIN,1115.0,-2.28,-5.38
KOTAKBANK,390.75,-0.82,-5.18
JIOFIN,256.8,-2.39,-5.05
TITAN,4941.0,-1.14,-3.73
TATASTEEL,187.55,-0.92,-2.78
NTPC,342.5,-0.72,-2.32
ASIANPAINT,2735.0,-0.73,-1.97
ETERNAL,315.0,-0.4,-1.72
CIPLA,1463.8,-0.89,-1.57
JSWSTEEL,1299.5,-0.64,-1.46
LT,4056.0,-0.14,-1.36
MARUTI,14037.0,-0.31,-1.33
SUNPHARMA,1945.0,-0.31,-1.17
TATACONSUM,1082.3,-0.71,-1.1
HDFCLIFE,540.0,-0.46,-0.8
SBILIFE,1855.5,-0.32,-0.59
APOLLOHOSP,8945.0,-0.33,-0.51
MAXHEALTH,1070.0,-0.22,-0.37
ADANIENT,3020.0,-0.2,-0.27
ADANIPORTS,1693.5,-0.09,-0.21
COALINDIA,415.25,-0.08,-0.14
