symbol,ltp,changepct,contribution
RELIANCE,1326.5,1.28,26.59
HDFCBANK,786.4,0.84,25.71
INFY,1065.4,1.31,14.78
ICICIBANK,1352.4,0.44,8.83
CIPLA,1415.7,4.51,7.83
SUNPHARMA,1862.9,1.32,4.9
KOTAKBANK,402.15,0.72,4.46
SBIN,1040.75,0.54,4.33
BAJFINANCE,968.3,0.67,3.63
BHARTIARTL,1916.6,0.3,3.47
TECHM,1435.2,1.78,3.35
BEL,431.5,1.07,3.28
BAJAJ-AUTO,10191.0,1.23,2.46
DRREDDY,1290.7,1.44,2.19
GRASIM,3175.2,0.81,1.74
BAJAJFINSV,1782.2,0.72,1.72
HDFCLIFE,597.15,0.89,1.52
NTPC,367.05,0.34,1.07
HINDALCO,1014.2,0.41,0.98
TMPV,361.5,0.55,0.93
ADANIENT,3059.6,0.69,0.91
ULTRACEMCO,11402.0,0.31,0.89
TCS,2127.8,0.13,0.84
MARUTI,13421.0,0.19,0.8
EICHERMOT,7639.5,0.37,0.7
SBILIFE,1805.5,0.29,0.52
AXISBANK,1358.6,0.05,0.36
TATACONSUM,1112.9,0.13,0.2
MAXHEALTH,1095.05,0.03,0.05
TATASTEEL,198.97,0.01,0.03
INDIGO,5021.1,-0.01,-0.03
APOLLOHOSP,8469.0,-0.24,-0.36
HCLTECH,1130.5,-0.11,-0.38
WIPRO,180.18,-0.34,-0.48
ONGC,245.45,-0.33,-0.65
COALINDIA,449.0,-0.51,-0.9
JIOFIN,243.38,-0.44,-0.91
JSWSTEEL,1282.4,-0.41,-0.92
ADANIPORTS,1827.2,-0.44,-0.99
ETERNAL,263.65,-0.25,-1.05
TRENT,3180.6,-0.79,-1.54
NESTLEIND,1401.9,-0.92,-1.71
LT,4201.3,-0.19,-1.81
HINDUNILVR,2184.9,-0.44,-1.91
SHRIRAMFIN,992.85,-0.91,-2.11
POWERGRID,289.75,-0.86,-2.14
M&M,3063.4,-0.37,-2.46
ITC,291.25,-0.43,-3.41
TITAN,4372.5,-1.08,-3.46
ASIANPAINT,2674.0,-2.2,-5.83
